Report Name,Organisation Code,Organisation Name,Month,Patient Type,Value 1,Value 2,Value 3,Value 4
1. MSitAE Comparison,ENG,ENGLAND,Apr-20,All Patients,836534,858281,97.5,
1. MSitAE Comparison,ENG,ENGLAND,May-20,All Patients,1154354,1185604,97.4,
1. MSitAE Comparison,ENG,ENGLAND,Jun-20,All Patients,1285038,1324360,97,
1. MSitAE Comparison,ENG,ENGLAND,Jul-20,All Patients,1440869,1487455,96.9,
1. MSitAE Comparison,ENG,ENGLAND,Aug-20,All Patients,1541080,1597645,96.5,
1. MSitAE Comparison,ENG,ENGLAND,Sep-20,All Patients,1517059,1572409,96.5,
1. MSitAE Comparison,ENG,ENGLAND,Oct-20,All Patients,1432808,1488398,96.3,
1. MSitAE Comparison,ENG,ENGLAND,Nov-20,All Patients,1322706,1381530,95.7,
1. MSitAE Comparison,ENG,ENGLAND,Dec-20,All Patients,1324805,1374828,96.4,
1. MSitAE Comparison,ENG,ENGLAND,Jan-21,All Patients,1177075,1220597,96.4,
1. MSitAE Comparison,ENG,ENGLAND,Feb-21,All Patients,1120893,1187560,94.4,
1. MSitAE Comparison,ENG,ENGLAND,Mar-21,All Patients,1446906,1570362,92.1,
1. MSitAE Comparison,AAH01,TETBURY HOSPITAL TRUST,Apr-20,All Patients,100,No Data,-,
1. MSitAE Comparison,AD903,URGENT CARE CENTRE,Apr-20,All Patients,2800,No Data,,
1. MSitAE Comparison,AD904,UCC AT HILLINGDON HOSPITAL,Apr-20,All Patients,2700,No Data,,
1. MSitAE Comparison,AD906,UCC - NORTHWICK PARK HOSPITAL,Apr-20,All Patients,2500,No Data,,
1. MSitAE Comparison,AD907,ASHFORD HEALTH CENTRE,Apr-20,All Patients,955,No Data,,
1. MSitAE Comparison,AD913,BECKENHAM BEACON UCC,Apr-20,All Patients,1385,1383,100,
1. MSitAE Comparison,AD914,UCC - QUEEN ELIZABETH HOSPITAL,Apr-20,All Patients,3715,No Data,,
1. MSitAE Comparison,AD916,WOKING WALK IN CENTRE,Apr-20,All Patients,830,No Data,,
1. MSitAE Comparison,AD918,UTC - CENTRAL MIDDLESEX HOSPITAL,Apr-20,All Patients,925,No Data,,
1. MSitAE Comparison,AQN04,PHL LYMINGTON UTC,Apr-20,All Patients,775,743,104,
1. MSitAE Comparison,AXA,TOWER HAMLETS GP CARE GROUP CIC,Apr-20,All Patients,1575,No Data,,
1. MSitAE Comparison,AXG,WILTSHIRE HEALTH & CARE,Apr-20,All Patients,245,244,-,
1. MSitAE Comparison,AXT,ONE MEDICAL GROUP LIMITED,Apr-20,All Patients,1960,No Data,,
1. MSitAE Comparison,NLO08,SCARBOROUGH URGENT CARE CENTRE,Apr-20,All Patients,1760,No Data,,
1. MSitAE Comparison,NLO14,WEST MIDLANDS DOCTORS URGENT CARE,Apr-20,All Patients,2795,No Data,,
1. MSitAE Comparison,NLO15,YORKSHIRE DOCTORS URGENT CARE - VALE OF YORK,Apr-20,All Patients,2235,No Data,,
1. MSitAE Comparison,NLO21,ST MARY'S URGENT CARE CENTRE,Apr-20,All Patients,1540,No Data,,
1. MSitAE Comparison,NLO26,ROYAL STOKE UNIVERSITY HOSPITAL URGENT CARE CENTRE,Apr-20,All Patients,2315,No Data,,
1. MSitAE Comparison,NNF,CITY HEALTH CARE PARTNERSHIP CIC,Apr-20,All Patients,3405,No Data,,
1. MSitAE Comparison,NNJ,DHU HEALTH CARE C.I.C,Apr-20,All Patients,1175,182,646,
1. MSitAE Comparison,NQ106,FRYATT HOSPITAL,Apr-20,All Patients,70,71,-,
1. MSitAE Comparison,NQ108,CLACTON HOSPITAL,Apr-20,All Patients,685,810,85,
1. MSitAE Comparison,NQT10,ASSURA READING LLP,Apr-20,All Patients,15,14,-,
1. MSitAE Comparison,NQT5F,SKELMERSDALE WALK IN CENTRE,Apr-20,All Patients,110,112,-,
