INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SPELLS,ELECTIVE_SPELLS,NON_ELECTIVE_SPELLS,PRE_PANDEMIC_SPELLS,PRE_PANDEMIC_ELECTIVE_SPELLS,PRE_PANDEMIC_NON_ELECTIVE_SPELLS,OVERALL_RATE,ELECTIVE_RATE,NON_ELECTIVE_RATE
I02040,ENG,ENGLAND,9192894,1029179,8163715,9436012,1220372,8215640,97,84,99
I02040,RCF,AIREDALE NHS FOUNDATION TRUST,32270,2160,30110,33765,2415,31345,96,89,96
I02040,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,58460,6410,52050,45360,7090,38270,129,90,136
I02040,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",115830,8340,107485,84730,8045,76685,137,104,140
I02040,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,50810,3360,47445,49130,3715,45415,103,90,104
I02040,R1H,BARTS HEALTH NHS TRUST,125790,19385,106405,176855,21650,155205,71,90,69
I02040,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,123400,10800,112600,121255,9875,111380,102,109,101
I02040,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,60880,5595,55285,56120,6265,49850,108,89,111
I02040,RMC,BOLTON NHS FOUNDATION TRUST,56870,4105,52765,61190,4345,56845,93,94,93
I02040,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,85965,5400,80565,96415,6975,89440,89,77,90
I02040,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,73590,4270,69320,63935,5590,58350,115,76,119
I02040,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,62610,4775,57835,71130,5640,65485,88,85,88
I02040,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,65935,13375,52560,75815,14990,60825,87,89,86
I02040,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,97510,8160,89355,98030,7890,90140,99,103,99
I02040,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,59450,3735,55715,51645,3980,47665,115,94,117
I02040,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,45570,2850,42720,49070,4410,44660,93,65,96
I02040,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,80020,4560,75460,80970,5860,75115,99,78,100
I02040,RJ6,CROYDON HEALTH SERVICES NHS TRUST,31185,3020,28170,35710,3030,32680,87,100,86
I02040,RN7,DARTFORD AND GRAVESHAM NHS TRUST,56175,6775,49400,57055,10475,46580,98,65,106
I02040,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,74710,8445,66265,74005,9525,64480,101,89,103
I02040,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,31895,2305,29590,29015,3270,25740,110,70,115
I02040,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,52880,6280,46600,68715,7180,61535,77,87,76
I02040,RJN,EAST CHESHIRE NHS TRUST,16085,1275,14810,20070,1470,18600,80,87,80
I02040,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,95755,11100,84655,110485,13620,96865,87,81,87
I02040,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,48820,5210,43605,90355,10370,79985,54,50,55
I02040,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,110390,11030,99360,111440,12435,99005,99,89,100
I02040,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,62940,5665,57280,64720,5755,58970,97,98,97
I02040,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,40850,7310,33540,63995,8490,55505,64,86,60
