INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,ENG,ENGLAND,289707,59718,57312,58670,57404,52684,3919,21,20,20,20,18,1
I00743,RCF,AIREDALE NHS FOUNDATION TRUST,1095,190,125,275,285,225,*,17,11,25,26,21,*
I00743,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1635,*,210,315,405,675,25,*,13,19,25,41,2
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2645,380,545,740,470,330,180,14,21,28,18,12,7
I00743,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1640,645,415,285,180,75,40,39,25,17,11,5,2
I00743,R1H,BARTS HEALTH NHS TRUST,3425,830,1400,505,390,235,65,24,41,15,11,7,2
I00743,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,3015,360,640,585,610,805,15,12,21,19,20,27,0
I00743,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2355,780,640,350,370,210,10,33,27,15,16,9,0
I00743,RMC,BOLTON NHS FOUNDATION TRUST,1705,785,290,160,280,185,10,46,17,9,16,11,1
I00743,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1835,925,445,225,165,65,10,50,24,12,9,4,1
I00743,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1615,10,135,225,425,815,*,1,8,14,26,50,*
I00743,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2545,725,545,515,490,240,25,28,21,20,19,9,1
I00743,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2350,80,205,515,665,865,15,3,9,22,28,37,1
I00743,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1735,145,500,525,300,205,65,8,29,30,17,12,4
I00743,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1840,335,430,360,345,335,40,18,23,20,19,18,2
I00743,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1505,230,190,155,285,340,310,15,13,10,19,23,21
I00743,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3270,990,990,450,410,415,10,30,30,14,13,13,0
I00743,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1310,235,360,295,245,155,20,18,27,23,19,12,2
I00743,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1540,235,340,345,350,270,*,15,22,22,23,18,*
I00743,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2630,895,590,510,455,170,*,34,22,19,17,6,*
I00743,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1295,120,235,450,375,110,*,9,18,35,29,8,*
I00743,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1980,65,345,500,400,655,15,3,17,25,20,33,1
I00743,RJN,EAST CHESHIRE NHS TRUST,870,30,145,140,225,330,*,3,17,16,26,38,*
I00743,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3640,700,775,905,885,350,30,19,21,25,24,10,1
I00743,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2290,995,520,275,315,180,*,43,23,12,14,8,*
I00743,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,4475,740,850,1220,870,785,10,17,19,27,19,18,0
I00743,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2635,400,585,725,640,275,*,15,22,28,24,10,*
I00743,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1780,45,215,195,485,830,10,3,12,11,27,47,1
I00743,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3585,80,430,580,730,1745,15,2,12,16,20,49,0
I00743,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1555,480,455,215,275,135,*,31,29,14,18,9,*
I00743,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1205,195,335,255,265,150,10,16,28,21,22,12,1
I00743,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2885,250,335,715,715,860,10,9,12,25,25,30,0
I00743,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1850,185,220,370,625,445,*,10,12,20,34,24,*
I00743,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1625,285,575,290,185,185,105,18,35,18,11,11,6
I00743,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2335,20,260,345,670,1035,*,1,11,15,29,44,*
I00743,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,1065,20,50,200,375,420,*,2,5,19,35,39,*
