INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00742,ENG,ENGLAND,9192894,2128110,1860682,1745354,1641726,1488103,328919,23.1,20.2,19,17.9,16.2,3.6
I00742,RCF,AIREDALE NHS FOUNDATION TRUST,32270,8195,4175,6810,7330,5580,180,25.4,12.9,21.1,22.7,17.3,0.6
I00742,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,58460,545,8445,12380,14445,19805,2835,0.9,14.4,21.2,24.7,33.9,4.8
I00742,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",115830,21505,29720,30575,15185,9865,8975,18.6,25.7,26.4,13.1,8.5,7.7
I00742,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,50810,20045,12510,7990,5910,2815,1535,39.5,24.6,15.7,11.6,5.5,3
I00742,R1H,BARTS HEALTH NHS TRUST,125790,31525,55660,19195,10195,6055,3165,25.1,44.2,15.3,8.1,4.8,2.5
I00742,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,123400,21200,28290,24800,23220,24110,1775,17.2,22.9,20.1,18.8,19.5,1.4
I00742,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,60880,23275,13810,8300,9815,5050,625,38.2,22.7,13.6,16.1,8.3,1
I00742,RMC,BOLTON NHS FOUNDATION TRUST,56870,28655,9930,5775,7015,5025,470,50.4,17.5,10.2,12.3,8.8,0.8
I00742,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,85965,51040,19190,6890,4715,2065,2070,59.4,22.3,8,5.5,2.4,2.4
I00742,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,73590,715,9845,11685,19545,31475,325,1,13.4,15.9,26.6,42.8,0.4
I00742,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,62610,20175,13375,11695,10890,4740,1735,32.2,21.4,18.7,17.4,7.6,2.8
I00742,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,65935,2605,6710,15155,18310,22555,600,4,10.2,23,27.8,34.2,0.9
I00742,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,97510,8875,26465,25285,14290,9400,13195,9.1,27.1,25.9,14.7,9.6,13.5
I00742,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,59450,11930,13355,10465,8570,9480,5650,20.1,22.5,17.6,14.4,15.9,9.5
I00742,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,45570,8340,5460,4460,7885,9325,10100,18.3,12,9.8,17.3,20.5,22.2
I00742,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,80020,26230,21575,11975,10865,8740,640,32.8,27,15,13.6,10.9,0.8
I00742,RJ6,CROYDON HEALTH SERVICES NHS TRUST,31185,6245,9925,6670,4560,2615,1175,20,31.8,21.4,14.6,8.4,3.8
I00742,RN7,DARTFORD AND GRAVESHAM NHS TRUST,56175,8735,12880,14840,10800,8375,540,15.5,22.9,26.4,19.2,14.9,1
I00742,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,74710,29230,16015,12690,11340,4750,680,39.1,21.4,17,15.2,6.4,0.9
I00742,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,31895,3240,6100,10645,9225,2455,230,10.2,19.1,33.4,28.9,7.7,0.7
I00742,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,52880,1680,8615,12920,9680,15205,4780,3.2,16.3,24.4,18.3,28.8,9
I00742,RJN,EAST CHESHIRE NHS TRUST,16085,930,3080,2510,3650,5670,245,5.8,19.1,15.6,22.7,35.3,1.5
I00742,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,95755,21180,20385,23395,20390,8375,2040,22.1,21.3,24.4,21.3,8.7,2.1
