INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,ENGLAND,118814,9192894,1.3
I01963,RCF,AIREDALE NHS FOUNDATION TRUST,0,32270,0
I01963,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,*,58460,*
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",160,115830,0.1
I01963,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,50810,*
I01963,R1H,BARTS HEALTH NHS TRUST,240,125790,0.2
I01963,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,55,123400,0
I01963,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,45,60880,0.1
I01963,RMC,BOLTON NHS FOUNDATION TRUST,140,56870,0.2
I01963,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1230,85965,1.4
I01963,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,145,73590,0.2
I01963,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,20,62610,0
I01963,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,*,65935,*
I01963,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,630,97510,0.6
I01963,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,20710,59450,34.8
I01963,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,*,45570,*
I01963,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,4495,80020,5.6
I01963,RJ6,CROYDON HEALTH SERVICES NHS TRUST,*,31185,*
I01963,RN7,DARTFORD AND GRAVESHAM NHS TRUST,335,56175,0.6
I01963,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,65,74710,0.1
I01963,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,10,31895,0
I01963,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,0,52880,0
I01963,RJN,EAST CHESHIRE NHS TRUST,0,16085,0
I01963,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1150,95755,1.2
I01963,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,11475,48820,23.5
I01963,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2635,110390,2.4
I01963,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,160,62940,0.3
I01963,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,35,40850,0.1
I01963,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,60,92725,0.1
I01963,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,70,36325,0.2
I01963,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,*,33395,*
I01963,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1730,101135,1.7
I01963,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,35,62775,0.1
I01963,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,4165,100865,4.1
I01963,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,30,77305,0
I01963,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,3070,29480,10.4
I01963,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,100,47585,0.2
I01963,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,*,88595,*
I01963,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,350,108945,0.3
I01963,R1F,ISLE OF WIGHT NHS TRUST,735,20885,3.5
I01963,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30,34350,0.1
I01963,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,525,49505,1.1
I01963,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,95,97375,0.1
I01963,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,80,54160,0.1
I01963,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,65,87790,0.1
I01963,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,0,100910,0
I01963,RJ2,LEWISHAM AND GREENWICH NHS TRUST,3020,84960,3.6
I01963,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15,97520,0
I01963,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,295,105940,0.3
I01963,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,1220,99765,1.2
I01963,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,1120,188940,0.6
I01963,RPA,MEDWAY NHS FOUNDATION TRUST,105,52720,0.2
I01963,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,2635,122245,2.2
I01963,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,90,179960,0.1
I01963,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,35,55470,0.1
I01963,RXF,MID YORKSHIRE TEACHING NHS TRUST,400,82690,0.5
I01963,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1110,38535,2.9
I01963,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,100,76150,0.1
I01963,RVJ,NORTH BRISTOL NHS TRUST,395,95540,0.4
I01963,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,*,46105,*
I01963,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,10,30160,0
