INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,0.9745,2,32270,1095,1125,0.9104,1.0956,0.8848,1.1302
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,0.9874,2,58460,1635,1660,0.9258,1.0782,0.8888,1.1251
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.8984,2,115830,2645,2945,0.944,1.0583,0.8927,1.1202
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,0.966,2,50810,1640,1700,0.9267,1.0772,0.889,1.1248
I00699,R1H,BARTS HEALTH NHS TRUST,0.9913,2,125790,3425,3455,0.9483,1.0537,0.8935,1.1192
I00699,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0.9684,2,123400,3015,3110,0.9455,1.0566,0.893,1.1198
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1.0344,2,60880,2355,2280,0.9365,1.0664,0.8912,1.1221
I00699,RMC,BOLTON NHS FOUNDATION TRUST,1.1497,1,56870,1705,1480,0.9217,1.0829,0.8878,1.1264
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1.1629,1,85965,1835,1580,0.924,1.0802,0.8884,1.1257
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,0.9016,2,73590,1615,1790,0.9286,1.0752,0.8895,1.1243
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,1.128,1,62610,2545,2255,0.9362,1.0668,0.8912,1.1221
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9639,2,65935,2350,2440,0.9386,1.0642,0.8917,1.1215
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0.7142,3,97510,1735,2430,0.9385,1.0643,0.8916,1.1215
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,0.9509,2,59450,1840,1935,0.9313,1.0722,0.8901,1.1235
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0.955,2,45570,1505,1575,0.924,1.0803,0.8884,1.1257
I00699,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1.2371,1,80020,3270,2640,0.941,1.0616,0.8921,1.1209
I00699,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1.0996,2,31185,1310,1190,0.9129,1.0928,0.8855,1.1294
I00699,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1.0252,2,56175,1540,1500,0.9222,1.0823,0.8879,1.1262
I00699,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1.129,1,74710,2630,2330,0.9372,1.0657,0.8914,1.1219
I00699,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1.1057,2,31895,1295,1170,0.9121,1.0937,0.8852,1.1296
