INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1539.8855,1785.3665,1465.8855,1781.7956,1788.4302,1779.7956,313.91,36,0.0,361.7888,36,0.0,203.0141,36,0.0,83.3166,16.6492,0.0342,1126320,0.6667,0.6669,0.0475,0.8333
I00699,2,320292.7285,320688.5944,320218.7285,353665.4572,353676.1563,353663.4572,33444.7287,36,0.0,29203.0007,36,0.0,21974.2285,36,0.0,70.3569,29.5537,0.0894,19025098704,0.408,0.4084,0.1448,0.704
I00699,3,11657.2455,11960.0771,11583.2455,13690.8179,13699.0026,13688.8179,2105.5724,36,0.0,1866.9483,36,0.0,905.2024,36,0.0,78.8105,21.1168,0.0727,46794770,0.5769,0.5774,0.0769,0.7885
I00699,4,3637.4134,3910.8524,3563.4134,4249.9773,4257.3676,4247.9773,684.5639,36,0.0,668.9646,36,0.0,394.7333,36,0.0,81.3396,18.6229,0.0375,5899840,0.6272,0.6274,0.0516,0.8136
I00699,5,1158.3632,1267.6676,1122.3632,1207.3824,1213.4548,1205.3824,83.0192,17,0.0,82.1569,17,0.0,,17,,70.6538,28.9638,0.3823,455344,0.4169,0.4185,0.037,0.7085
I00699,6,25272.4425,25670.638,25198.4425,40930.0572,40940.8192,40928.0572,15729.6147,36,0.0,34973.0083,36,0.0,5025.9376,36,0.0,95.7077,4.2773,0.015,1273861836,0.9143,0.9144,0.0192,0.9572
I00699,7,13040.2722,13355.2737,12966.2722,17827.3704,17835.884,17825.3704,4859.0982,36,0.0,5155.5897,36,0.0,2844.7474,36,0.0,87.3288,12.6466,0.0247,83066340,0.7468,0.747,0.0916,0.8734
I00699,8,19498.9879,19755.7921,19434.9879,22894.1817,22902.2068,22892.1817,3457.1938,31,0.0,2976.0854,31,0.0,2378.0078,31,0.0,76.1999,23.7432,0.0569,83034230,0.5246,0.5249,0.1708,0.7623
I00699,9,11601.499,11850.8232,11535.499,14121.8214,14129.3767,14119.8214,2584.3224,32,0.0,2145.6112,32,0.0,1541.4293,32,0.0,78.1633,21.7869,0.0499,31863180,0.5638,0.564,0.1802,0.7819
I00699,10,30239.2933,30568.7719,30167.2933,42206.5505,42215.7026,42204.5505,12037.2572,35,0.0,11616.3022,35,0.0,6513.8524,35,0.0,87.2694,12.7028,0.0277,398320923,0.7457,0.7459,0.1222,0.8728
I00699,11,15014.0315,15306.8543,14946.0315,21688.4152,21697.0276,21686.4152,6740.3837,33,0.0,6844.2152,33,0.0,3512.7913,33,0.0,88.7494,11.2263,0.0244,114813010,0.7752,0.7754,0.1078,0.8876
I00699,12,15574.4483,15868.5802,15500.4483,20665.2877,20673.2372,20663.2877,5162.8394,36,0.0,4415.7988,36,0.0,2831.3451,36,0.0,82.9415,17.0161,0.0423,68835297,0.6593,0.6595,0.207,0.8296
I00699,13,24650.568,24941.6751,24578.568,29258.7479,29266.8342,29256.7479,4678.1799,35,0.0,3903.9187,35,0.0,3054.4026,35,0.0,75.8301,24.1072,0.0627,120631235,0.5172,0.5176,0.2164,0.7586
I00699,14,9662.4324,9940.4501,9588.4324,12203.9666,12211.4806,12201.9666,2613.5343,36,0.0,2226.0105,36,0.0,1499.2397,36,0.0,81.5374,18.4201,0.0425,25474752,0.6312,0.6314,0.1752,0.8156
I00699,15,59502.1903,59832.2945,59430.1903,78198.2642,78207.4338,78196.2642,18766.0739,35,0.0,15025.043,35,0.0,8830.9696,35,0.0,80.9134,19.0292,0.0574,918053240,0.6188,0.6192,0.2258,0.8094
I00699,16,3548.491,3767.4689,3480.491,4408.4829,4414.9234,4406.4829,925.9919,33,0.0,782.7076,33,0.0,495.7043,33,0.0,80.4188,19.5153,0.0659,3205048,0.609,0.6094,0.1821,0.8045
I00699,17,5608.9447,5907.6308,5534.9447,9053.5801,9061.6527,9051.5801,3516.6353,36,0.0,4007.1871,36,0.0,1525.4113,36,0.0,92.6898,7.2911,0.0191,25380000,0.854,0.8542,0.0773,0.927
I00699,18,13996.0799,14317.4816,13926.0799,25700.0121,25709.195,25698.0121,11771.9322,34,0.0,14638.2974,34,0.0,3283.3195,34,0.0,94.7528,5.2214,0.0258,214762464,0.8953,0.8955,0.0744,0.9477
I00699,19,5181.2941,5463.9545,5111.2941,9594.4325,9602.5085,9592.4325,4481.1384,34,0.0,6142.8735,34,0.0,1866.501,34,0.0,94.7187,5.2564,0.0249,27399465,0.8946,0.8948,0.0868,0.9473
I00699,20,4771.8626,5060.0567,4697.8626,7405.0826,7412.8716,7403.0826,2705.22,36,0.0,2991.512,36,0.0,1352.0443,36,0.0,91.9852,7.9887,0.0262,15994830,0.84,0.8402,0.0845,0.92
I00699,21,9244.9914,9525.9035,9172.9914,12597.7718,12605.5749,12595.7718,3422.7804,35,0.0,3078.365,35,0.0,1744.3666,35,0.0,86.0666,13.8663,0.0671,32236344,0.722,0.7225,0.1423,0.861
I00699,22,16776.9719,17113.3596,16702.9719,27524.4188,27533.5104,27522.4188,10819.4469,36,0.0,11868.6988,36,0.0,3267.4463,36,0.0,92.6419,7.3043,0.0538,219394254,0.8534,0.8538,0.087,0.9267
I00699,23,14876.5758,15195.5485,14806.5758,24035.0656,24044.1791,24033.0656,9226.4898,34,0.0,12952.89,34,0.0,4959.5237,34,0.0,92.0891,7.8875,0.0234,187504604,0.842,0.8422,0.0702,0.921
I00699,24,9416.2378,9727.2045,9342.2378,14949.8055,14958.21,14947.8055,5605.5677,36,0.0,6232.4034,36,0.0,2365.5456,36,0.0,91.723,8.2526,0.0243,61261116,0.8347,0.8349,0.0939,0.9174
I00699,25,14150.7091,14451.9468,14076.7091,17232.7062,17240.8478,17230.7062,3153.9971,36,0.0,2863.9127,36,0.0,1897.8918,36,0.0,80.6567,19.3212,0.0221,61364983,0.6134,0.6135,0.1169,0.8067
I00699,26,1144.0471,1384.2627,1072.0471,1511.3793,1518.0519,1509.3793,437.3322,35,0.0,635.4281,35,0.0,276.2643,35,0.0,89.783,10.2051,0.0119,942050,0.7958,0.7959,0.044,0.8979
I00699,27,26934.7033,27265.6951,26860.7033,31341.9602,31350.9059,31339.9602,4479.2569,36,0.0,4160.7912,36,0.0,2855.7371,36,0.0,78.4549,21.52,0.0251,233994880,0.5693,0.5695,0.0828,0.7847
I00699,28,11702.7825,11970.0825,11636.7825,13547.5764,13555.6764,13545.5764,1908.7938,32,0.0,1895.2694,32,0.0,1430.8955,32,0.0,78.2143,21.7506,0.0352,43502742,0.5646,0.5648,0.0829,0.7823
I00699,29,3362.1794,3621.2337,3288.1794,5205.2132,5212.2147,5203.2132,1915.0338,36,0.0,1790.6924,36,0.0,853.8529,36,0.0,90.6098,9.3731,0.017,5819400,0.8124,0.8125,0.1436,0.9062
I00699,30,98708.8777,99068.2864,98634.8777,111935.6078,111945.3215,111933.6078,13298.7301,36,0.0,10773.4532,36,0.0,7819.3932,36,0.0,72.5949,27.3295,0.0755,2120599988,0.4527,0.453,0.1285,0.7263
I00699,31,22763.178,23092.5692,22689.178,39275.0909,39283.9933,39273.0909,16583.9128,36,0.0,15626.9536,36,0.0,5806.9503,36,0.0,91.8708,8.1064,0.0228,305460936,0.8376,0.8378,0.1735,0.9188
I00699,32,9347.1266,9679.291,9273.1266,12403.6887,12412.6661,12401.6887,3128.5621,36,0.0,3929.3689,36,0.0,1955.0063,36,0.0,88.7913,11.1929,0.0158,73904586,0.776,0.7761,0.0335,0.888
I00699,33,5130.8636,5496.7905,5056.8636,7047.7952,7057.6851,7045.7952,1988.9316,36,0.0,4178.624,36,0.0,1589.9909,36,0.0,92.403,7.5857,0.0113,77421448,0.8482,0.8483,0.0062,0.9241
I00699,34,7107.4427,7442.4938,7033.4427,8637.4138,8646.4692,8635.4138,1601.9711,36,0.0,1950.7108,36,0.0,827.7978,36,0.0,86.3973,13.557,0.0457,50359686,0.7284,0.7287,0.0183,0.8642
I00699,35,29301.3689,29659.4062,29227.3689,35692.3489,35702.0256,35690.3489,6462.98,36,0.0,7589.9203,36,0.0,3958.3254,36,0.0,83.6114,16.3439,0.0447,467784970,0.6727,0.673,0.0454,0.8363
I00699,36,20015.3516,20369.3185,19941.3516,24944.6979,24954.2645,24942.6979,5001.3463,36,0.0,5236.6243,36,0.0,2106.7249,36,0.0,85.6971,14.263,0.0399,275115725,0.7143,0.7146,0.0353,0.8572
I00699,37,85126.8118,85503.2782,85052.8118,91862.768,91872.9428,91860.768,6807.9562,36,0.0,6337.2043,36,0.0,5097.6462,36,0.0,71.0508,28.8606,0.0886,2239998948,0.4219,0.4223,0.0503,0.711
I00699,38,33147.6662,33512.7189,33073.6662,39804.5332,39814.3995,39802.5332,6728.867,36,0.0,6900.9981,36,0.0,3851.3881,36,0.0,82.9062,17.0529,0.0409,617680974,0.6585,0.6588,0.0401,0.8293
I00699,39,58528.5552,58914.0391,58454.5552,65181.1642,65191.5826,65179.1642,6724.6089,36,0.0,5946.3879,36,0.0,3970.5814,36,0.0,76.249,23.6838,0.0672,1731039498,0.5257,0.526,0.0297,0.7628
