INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00743,ENG,"ENGLAND",253159,52549,50720,51461,50576,46568,1285,21,20,20,20,18,1
I00743,RCF,"AIREDALE NHS FOUNDATION TRUST",940,175,95,240,245,185,0,19,10,26,26,20,0
I00743,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",1435,*,175,265,390,605,0,*,12,18,27,42,0
I00743,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2190,330,500,620,415,325,0,15,23,28,19,15,0
I00743,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",1380,575,375,220,140,65,*,42,27,16,10,5,*
I00743,R1H,"BARTS HEALTH NHS TRUST",2920,770,1235,415,295,190,20,26,42,14,10,7,1
I00743,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",2590,340,535,545,505,660,*,13,21,21,19,25,*
I00743,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",2020,650,515,320,355,175,*,32,25,16,18,9,*
I00743,RMC,"BOLTON NHS FOUNDATION TRUST",1550,745,245,175,240,140,*,48,16,11,15,9,*
I00743,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",1535,740,385,210,135,55,*,48,25,14,9,4,*
I00743,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",1530,10,155,195,440,730,0,1,10,13,29,48,0
I00743,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",2120,570,490,445,395,215,10,27,23,21,19,10,0
I00743,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",2005,55,195,465,570,720,*,3,10,23,28,36,*
I00743,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",1285,100,380,425,230,150,*,8,30,33,18,12,*
I00743,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",1600,285,365,320,300,325,*,18,23,20,19,20,*
I00743,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",1210,185,165,125,215,305,215,15,14,10,18,25,18
I00743,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",2885,870,845,425,380,355,10,30,29,15,13,12,0
I00743,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",1005,190,280,190,210,125,*,19,28,19,21,12,*
I00743,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",1390,205,270,295,330,285,*,15,19,21,24,21,*
I00743,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",2305,805,505,460,395,145,0,35,22,20,17,6,0
I00743,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",1120,115,205,345,350,105,0,10,18,31,31,9,0
I00743,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",1840,75,275,485,375,630,*,4,15,26,20,34,*
I00743,RJN,"EAST CHESHIRE NHS TRUST",750,30,130,110,195,285,*,4,17,15,26,38,*
I00743,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",3250,615,700,780,820,325,*,19,22,24,25,10,*
I00743,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",2375,1045,555,240,350,185,0,44,23,10,15,8,0
I00743,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",3910,680,750,1030,745,700,10,17,19,26,19,18,0
I00743,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",2370,355,510,690,590,225,*,15,22,29,25,9,*
I00743,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",1510,40,185,165,405,715,0,3,12,11,27,47,0
I00743,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",3120,60,380,490,645,1545,*,2,12,16,21,50,*
I00743,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",1320,450,380,190,220,80,*,34,29,14,17,6,*
I00743,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",995,170,280,230,205,115,*,17,28,23,21,12,*
I00743,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",2690,240,330,640,645,830,*,9,12,24,24,31,*
I00743,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",1605,160,195,335,525,385,*,10,12,21,33,24,*
I00743,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",1375,255,505,280,175,155,*,19,37,20,13,11,*
I00743,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",2000,15,270,285,590,845,0,1,14,14,30,42,0
I00743,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",930,20,40,200,305,365,0,2,4,22,33,39,0
I00743,RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",505,220,230,40,10,*,*,44,46,8,2,*,*
I00743,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",3035,940,570,460,515,555,0,31,19,15,17,18,0
I00743,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",1755,400,580,360,275,145,*,23,33,21,16,8,*
I00743,R1F,"ISLE OF WIGHT NHS TRUST",785,95,285,210,165,35,0,12,36,27,21,4,0
I00743,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1430,310,385,475,180,75,*,22,27,33,13,5,*
I00743,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",1535,215,315,380,335,285,*,14,21,25,22,19,*
I00743,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",2660,415,610,420,575,625,15,16,23,16,22,23,1
I00743,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",980,15,85,160,265,455,*,2,9,16,27,46,*
I00743,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",2055,425,405,300,510,420,*,21,20,15,25,20,*
I00743,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",3585,1250,530,600,700,500,*,35,15,17,20,14,*
I00743,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",1995,350,655,420,345,225,*,18,33,21,17,11,*
I00743,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3355,2065,455,330,360,130,15,62,14,10,11,4,0
I00743,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",2155,245,585,705,410,205,*,11,27,33,19,10,*
I00743,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",2190,115,225,540,505,805,*,5,10,25,23,37,*
I00743,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3630,1540,700,445,525,415,10,42,19,12,14,11,0
I00743,RPA,"MEDWAY NHS FOUNDATION TRUST",1580,375,450,325,260,170,*,24,28,21,16,11,*
I00743,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",5495,625,1080,1105,1340,1340,*,11,20,20,24,24,*
I00743,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",1415,225,255,260,285,390,*,16,18,18,20,28,*
I00743,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",2485,910,640,425,380,130,0,37,26,17,15,5,0
I00743,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",1205,125,185,215,425,255,*,10,15,18,35,21,*
I00743,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3110,300,515,1010,785,495,0,10,17,32,25,16,0
I00743,RVJ,"NORTH BRISTOL NHS TRUST",2140,240,370,420,495,600,10,11,17,20,23,28,0
I00743,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",1885,330,510,410,370,255,15,18,27,22,20,14,1
I00743,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",1070,370,335,150,175,40,*,35,31,14,16,4,*
I00743,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",1660,745,280,200,240,195,0,45,17,12,14,12,0
I00743,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",2630,385,380,665,660,535,*,15,14,25,25,20,*
I00743,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",1660,205,345,250,520,335,*,12,21,15,31,20,*
I00743,RM3,"NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",3920,1580,860,580,570,330,*,40,22,15,15,8,*
I00743,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",2115,510,450,425,465,265,0,24,21,20,22,13,0
I00743,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",2695,690,640,470,440,455,*,26,24,17,16,17,*
I00743,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",3910,940,695,655,690,930,*,24,18,17,18,24,*
I00743,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",3090,150,210,510,900,1315,*,5,7,17,29,43,*
I00743,RHU,"PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST",2835,425,520,570,555,760,*,15,18,20,20,27,*
I00743,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",1910,55,210,280,340,935,95,3,11,15,18,49,5
I00743,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",2025,295,840,550,290,50,*,15,41,27,14,2,*
I00743,RH8,"ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",3000,165,705,950,685,495,*,6,24,32,23,17,*
I00743,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",2175,200,440,565,565,390,15,9,20,26,26,18,1
I00743,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",1080,10,45,135,295,600,*,1,4,13,27,56,*
I00743,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",1780,70,235,490,415,565,*,4,13,28,23,32,*
I00743,RNZ,"SALISBURY NHS FOUNDATION TRUST",1055,30,135,335,250,305,0,3,13,32,24,29,0
I00743,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",1645,1070,330,195,45,15,0,65,20,12,3,1,0
I00743,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",3025,1145,410,575,450,445,*,38,14,19,15,15,*
I00743,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",1885,545,530,385,250,170,*,29,28,20,13,9,*
I00743,RH5,"SOMERSET NHS FOUNDATION TRUST",1880,220,495,645,315,195,*,12,26,34,17,10,*
I00743,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",2455,830,470,360,465,330,*,34,19,15,19,13,*
I00743,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",3055,1405,760,415,330,150,*,46,25,14,11,5,*
I00743,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",1240,*,90,270,465,400,10,*,7,22,38,32,1
I00743,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",1220,230,115,370,280,220,*,19,9,30,23,18,*
I00743,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",1535,65,325,370,345,415,20,4,21,24,22,27,1
I00743,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",2235,1085,480,305,220,140,*,49,21,14,10,6,*
I00743,RWJ,"STOCKPORT NHS FOUNDATION TRUST",1600,290,325,290,305,390,*,18,20,18,19,24,*
I00743,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",1770,15,235,430,475,610,*,1,13,24,27,34,*
I00743,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",1180,570,260,205,100,45,*,48,22,17,8,4,*
I00743,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",2045,620,440,310,385,290,*,30,22,15,19,14,*
