INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,Q1_NUMERATOR,Q2_NUMERATOR,Q3_NUMERATOR,Q4_NUMERATOR,Q5_NUMERATOR,NULL_NUMERATOR,Q1_RATE,Q2_RATE,Q3_RATE,Q4_RATE,Q5_RATE,NULL_RATE
I00742,ENG,"ENGLAND",8491867,1958109,1738765,1618068,1520872,1384005,272048,23.1,20.5,19.1,17.9,16.3,3.2
I00742,RCF,"AIREDALE NHS FOUNDATION TRUST",31470,7725,4095,6770,7095,5640,145,24.5,13.0,21.5,22.5,17.9,0.5
I00742,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",44740,345,6555,9540,11595,16440,265,0.8,14.7,21.3,25.9,36.7,0.6
I00742,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",77775,13360,19060,19730,10605,7605,7410,17.2,24.5,25.4,13.6,9.8,9.5
I00742,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",44290,17785,10815,6895,5050,2340,1410,40.2,24.4,15.6,11.4,5.3,3.2
I00742,R1H,"BARTS HEALTH NHS TRUST",137795,34825,61110,20895,10780,6635,3555,25.3,44.3,15.2,7.8,4.8,2.6
I00742,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",106060,18230,24530,20640,20005,20940,1715,17.2,23.1,19.5,18.9,19.7,1.6
I00742,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",52850,20350,12095,7280,8370,4265,485,38.5,22.9,13.8,15.8,8.1,0.9
I00742,RMC,"BOLTON NHS FOUNDATION TRUST",56755,28275,9600,6025,7215,5135,505,49.8,16.9,10.6,12.7,9.0,0.9
I00742,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",76595,44100,16600,6530,4480,1885,3000,57.6,21.7,8.5,5.8,2.5,3.9
I00742,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",59485,570,7725,9115,16080,25805,185,1.0,13.0,15.3,27.0,43.4,0.3
I00742,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",60395,19300,13195,11370,10105,4975,1445,32.0,21.8,18.8,16.7,8.2,2.4
I00742,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",62610,2370,6175,14610,17750,21160,545,3.8,9.9,23.3,28.4,33.8,0.9
I00742,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",88955,7945,22980,22440,13525,8470,13600,8.9,25.8,25.2,15.2,9.5,15.3
I00742,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",49790,10520,11620,8985,7350,7835,3480,21.1,23.3,18.0,14.8,15.7,7.0
I00742,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",46155,8655,5910,4515,7850,9215,10015,18.8,12.8,9.8,17.0,20.0,21.7
I00742,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",84135,27470,23090,12540,11330,9165,540,32.6,27.4,14.9,13.5,10.9,0.6
I00742,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",29105,5920,9350,6300,4200,2360,975,20.3,32.1,21.6,14.4,8.1,3.3
I00742,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",55070,8495,12725,14360,10720,8355,410,15.4,23.1,26.1,19.5,15.2,0.7
I00742,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",59030,22800,12585,10210,9270,3600,565,38.6,21.3,17.3,15.7,6.1,1.0
I00742,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",26975,2850,5210,8910,7690,2175,145,10.6,19.3,33.0,28.5,8.1,0.5
I00742,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",51955,1545,8190,12755,9295,14800,5365,3.0,15.8,24.6,17.9,28.5,10.3
I00742,RJN,"EAST CHESHIRE NHS TRUST",13350,775,2540,2050,3005,4910,70,5.8,19.0,15.4,22.5,36.8,0.5
I00742,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",101680,23500,22070,24425,22240,8750,700,23.1,21.7,24.0,21.9,8.6,0.7
I00742,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",84465,42005,16620,8700,11195,5565,380,49.7,19.7,10.3,13.3,6.6,0.4
I00742,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",101065,18090,18010,25980,18515,15575,4895,17.9,17.8,25.7,18.3,15.4,4.8
I00742,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",60280,13180,13460,15820,12170,5330,320,21.9,22.3,26.2,20.2,8.8,0.5
I00742,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",41175,1650,6585,5580,11060,15920,375,4.0,16.0,13.6,26.9,38.7,0.9
