INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,ENG,"ENGLAND",8491867,7924,165873,167229,0.1,2.0,2.0
I00720,RCF,"AIREDALE NHS FOUNDATION TRUST",31470,0,335,335,0.0,1.1,1.1
I00720,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",44740,15,1005,1010,0.0,2.2,2.3
I00720,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",77775,0,1620,1620,0.0,2.1,2.1
I00720,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",44290,0,695,695,0.0,1.6,1.6
I00720,R1H,"BARTS HEALTH NHS TRUST",137795,305,1790,1825,0.2,1.3,1.3
I00720,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",106060,0,1480,1480,0.0,1.4,1.4
I00720,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",52850,*,1105,1105,*,2.1,2.1
I00720,RMC,"BOLTON NHS FOUNDATION TRUST",56755,0,930,930,0.0,1.6,1.6
I00720,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",76595,0,790,790,0.0,1.0,1.0
I00720,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",59485,305,1630,1660,0.5,2.7,2.8
I00720,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",60395,0,1045,1045,0.0,1.7,1.7
I00720,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",62610,*,1685,1685,*,2.7,2.7
I00720,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",88955,*,1115,1115,*,1.3,1.3
I00720,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",49790,*,625,625,*,1.3,1.3
I00720,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",46155,0,615,615,0.0,1.3,1.3
I00720,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",84135,0,2495,2495,0.0,3.0,3.0
I00720,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",29105,0,930,930,0.0,3.2,3.2
I00720,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",55070,0,1155,1155,0.0,2.1,2.1
I00720,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",59030,0,1415,1415,0.0,2.4,2.4
I00720,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",26975,0,670,670,0.0,2.5,2.5
I00720,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",51955,10,1075,1085,0.0,2.1,2.1
I00720,RJN,"EAST CHESHIRE NHS TRUST",13350,0,300,300,0.0,2.2,2.2
I00720,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",101680,0,1970,1970,0.0,1.9,1.9
I00720,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",84465,15,1230,1245,0.0,1.5,1.5
I00720,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",101065,20,2285,2305,0.0,2.3,2.3
I00720,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",60280,*,1510,1515,*,2.5,2.5
I00720,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",41175,0,1050,1050,0.0,2.6,2.6
I00720,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",102365,*,2105,2105,*,2.1,2.1
I00720,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",32380,165,685,690,0.5,2.1,2.1
I00720,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",24475,0,470,470,0.0,1.9,1.9
