INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01963,ENG,"ENGLAND",62899,8491867,0.7
I01963,RCF,"AIREDALE NHS FOUNDATION TRUST",0,31470,0.0
I01963,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",15,44740,0.0
I01963,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",30,77775,0.0
I01963,RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",15,44290,0.0
I01963,R1H,"BARTS HEALTH NHS TRUST",2155,137795,1.6
I01963,RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",10,106060,0.0
I01963,RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",45,52850,0.1
I01963,RMC,"BOLTON NHS FOUNDATION TRUST",1215,56755,2.1
I01963,RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",245,76595,0.3
I01963,RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",100,59485,0.2
I01963,RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",*,60395,*
I01963,RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",40,62610,0.1
I01963,RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",325,88955,0.4
I01963,RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",*,49790,*
I01963,RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",45,46155,0.1
I01963,RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",*,84135,*
I01963,RJ6,"CROYDON HEALTH SERVICES NHS TRUST",135,29105,0.5
I01963,RN7,"DARTFORD AND GRAVESHAM NHS TRUST",235,55070,0.4
I01963,RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",25,59030,0.0
I01963,RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",30,26975,0.1
I01963,RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",0,51955,0.0
I01963,RJN,"EAST CHESHIRE NHS TRUST",*,13350,*
I01963,RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",480,101680,0.5
I01963,RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",65,84465,0.1
I01963,RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",1120,101065,1.1
I01963,RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",150,60280,0.2
I01963,RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",10,41175,0.0
I01963,RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",115,102365,0.1
I01963,RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",115,32380,0.4
I01963,RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",120,24475,0.5
I01963,RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",145,101750,0.1
I01963,RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",875,56585,1.5
I01963,RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",190,100635,0.2
I01963,RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",35,71195,0.0
I01963,RCD,"HARROGATE AND DISTRICT NHS FOUNDATION TRUST",15,24875,0.1
I01963,RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",725,42450,1.7
I01963,RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",15,68980,0.0
I01963,RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",325,96445,0.3
I01963,R1F,"ISLE OF WIGHT NHS TRUST",1140,19325,5.9
I01963,RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",30,30100,0.1
I01963,RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",75,45400,0.2
I01963,RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",380,94255,0.4
I01963,RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",110,58665,0.2
I01963,RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",840,73830,1.1
I01963,RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",*,97190,*
I01963,RJ2,"LEWISHAM AND GREENWICH NHS TRUST",80,86465,0.1
I01963,REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",45,89580,0.1
I01963,R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",125,100750,0.1
I01963,RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",25,81080,0.0
I01963,R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",3875,191280,2.0
I01963,RPA,"MEDWAY NHS FOUNDATION TRUST",110,57330,0.2
I01963,RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",505,178185,0.3
I01963,RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",100,53485,0.2
I01963,RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",635,80880,0.8
I01963,RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",9285,49205,18.9
I01963,RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",115,74925,0.2
I01963,RVJ,"NORTH BRISTOL NHS TRUST",575,84435,0.7
I01963,RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",0,44470,0.0
I01963,RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",25,35585,0.1
I01963,RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",*,52725,*
I01963,RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",65,75270,0.1
I01963,RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",140,70335,0.2
I01963,RM3,"NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",125,111730,0.1
I01963,RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",45,60415,0.1
I01963,RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",*,88210,*
I01963,RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",985,136990,0.7
I01963,RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",*,117895,*
I01963,RHU,"PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST",180,83830,0.2
I01963,RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",45,65785,0.1
I01963,REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",470,59345,0.8
I01963,RH8,"ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",325,90015,0.4
I01963,RAL,"ROYAL FREE LONDON NHS FOUNDATION TRUST",16825,100295,16.8
I01963,RA2,"ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST",345,49980,0.7
I01963,RD1,"ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST",255,58055,0.4
I01963,RNZ,"SALISBURY NHS FOUNDATION TRUST",30,34360,0.1
I01963,RXK,"SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST",30,58380,0.1
I01963,RHQ,"SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST",40,103590,0.0
I01963,RK5,"SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST",10,59300,0.0
I01963,RH5,"SOMERSET NHS FOUNDATION TRUST",2225,49040,4.5
I01963,RTR,"SOUTH TEES HOSPITALS NHS FOUNDATION TRUST",1590,78365,2.0
I01963,R0B,"SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST",325,76190,0.4
I01963,RJC,"SOUTH WARWICKSHIRE NHS FOUNDATION TRUST",15,40155,0.0
I01963,RVY,"SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST",50,33780,0.1
I01963,RJ7,"ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",60,64200,0.1
I01963,RBN,"ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST",80,74135,0.1
I01963,RWJ,"STOCKPORT NHS FOUNDATION TRUST",0,52585,0.0
I01963,RTP,"SURREY AND SUSSEX HEALTHCARE NHS TRUST",250,48840,0.5
I01963,RMP,"TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST",15,35570,0.0
I01963,RNA,"THE DUDLEY GROUP NHS FOUNDATION TRUST",65,58620,0.1
I01963,RAS,"THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST",15,36100,0.0
I01963,RTD,"THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST",10,103890,0.0
I01963,RQW,"THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST",540,51105,1.1
I01963,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,44895,*
I01963,RFR,"THE ROTHERHAM NHS FOUNDATION TRUST",1900,42410,4.5
I01963,RL4,"THE ROYAL WOLVERHAMPTON NHS TRUST",0,90310,0.0
I01963,RXW,"THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST",*,67040,*
I01963,RA9,"TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST",3965,42230,9.4
I01963,RWD,"UNITED LINCOLNSHIRE HOSPITALS NHS TRUST",55,72005,0.1
I01963,RRV,"UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST",1060,65600,1.6
I01963,RHM,"UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST",210,90600,0.2
I01963,RRK,"UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST",0,196505,0.0
I01963,RA7,"UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST",210,84155,0.2
I01963,RKB,"UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST",25,101415,0.0
I01963,R0D,"UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST",40,89920,0.0
I01963,RTG,"UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST",30,126705,0.0
I01963,RWE,"UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST",30,137180,0.0
I01963,RTX,"UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST",1330,48300,2.8
I01963,RJE,"UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST",355,124065,0.3
I01963,RK9,"UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST",900,66325,1.4
I01963,RYR,"UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST",20,136660,0.0
I01963,RBK,"WALSALL HEALTHCARE NHS TRUST",30,62620,0.0
I01963,RWW,"WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST",65,35715,0.2
I01963,RWG,"WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST",50,62080,0.1
I01963,RGR,"WEST SUFFOLK NHS FOUNDATION TRUST",30,33750,0.1
I01963,RKE,"WHITTINGTON HEALTH NHS TRUST",25,23330,0.1
I01963,RBL,"WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST",20,61495,0.0
I01963,RWP,"WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST",65,70080,0.1
I01963,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",*,42340,*
I01963,RLQ,"WYE VALLEY NHS TRUST",*,28600,*
I01963,RA4,"YEOVIL DISTRICT HOSPITAL NHS FOUNDATION TRUST",0,28935,0.0
I01963,RCB,"YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST",50,84990,0.1
