INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,RCF,"AIREDALE NHS FOUNDATION TRUST",RCF22,"AIREDALE GENERAL HOSPITAL",0.9505,2,31470,940,990.0000,0.9046,1.1022,0.8537,1.1714,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD20 6TD
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK02,"ASHFORD HOSPITAL",0.9738,2,2130,15,15.0000,0.3770,2.1129,0.5845,1.7108,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,TW15 3AA
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK54,"COBHAM DAY SURGERY",*,*,*,0,*,*,*,*,*,UNDETERMINED,ONE,TRUST,KT11 1HS
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK48,"RUNNYMEDE HOSPITAL",*,*,65,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,KT16 0RQ
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK01,"ST PETER'S HOSPITAL",0.8984,2,42395,1420,1580.0000,0.9241,1.0802,0.8577,1.1659,ACUTE HOSPITAL - NHS NON-SPECIALIST,MULTIPLE,TRUST,KT16 0PZ
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK76,"THE LISTER HOSPITAL",*,*,60,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,SW1W 8RH
I00699,RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",RTK49,"WOKING NUFFIELD HOSPITAL",*,*,90,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,GU21 4BY
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4PP,"BARKING HOSPITAL",*,*,*,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG11 9LX
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4DG,"KING GEORGE HOSPITAL",0.8050,3,15825,665,825.0000,0.8958,1.1124,0.8516,1.1743,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG3 8YB
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4QH,"QUEEN'S HOSPITAL",0.8767,2,61745,1525,1740.0000,0.9276,1.0763,0.8583,1.1651,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,RM7 0AG
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4BM,"NOT PROVIDED",*,*,25,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
