INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED,SHMI_VALUE,SHMI_BANDING,PO_LL,PO_UL,OD_LL,OD_UL
I00699,1,"Tuberculosis",RCF,"AIREDALE NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RTK,"ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",35,*,*,,,,,,
I00699,1,"Tuberculosis",RFF,"BARNSLEY HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",R1H,"BARTS HEALTH NHS TRUST",100,*,*,,,,,,
I00699,1,"Tuberculosis",RC9,"BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST",30,*,*,,,,,,
I00699,1,"Tuberculosis",RXL,"BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RMC,"BOLTON NHS FOUNDATION TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RAE,"BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RXQ,"BUCKINGHAMSHIRE HEALTHCARE NHS TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RWY,"CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RGT,"CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RQM,"CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST",20,0,*,,,,,,
I00699,1,"Tuberculosis",RFS,"CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RJR,"COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RXP,"COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RJ6,"CROYDON HEALTH SERVICES NHS TRUST",25,0,*,,,,,,
I00699,1,"Tuberculosis",RN7,"DARTFORD AND GRAVESHAM NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RP5,"DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RBD,"DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RWH,"EAST AND NORTH HERTFORDSHIRE NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RJN,"EAST CHESHIRE NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RVV,"EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST",25,0,*,,,,,,
I00699,1,"Tuberculosis",RXR,"EAST LANCASHIRE HOSPITALS NHS TRUST",20,*,*,,,,,,
I00699,1,"Tuberculosis",RDE,"EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RXC,"EAST SUSSEX HEALTHCARE NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RVR,"EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RDU,"FRIMLEY HEALTH NHS FOUNDATION TRUST",25,*,*,,,,,,
I00699,1,"Tuberculosis",RR7,"GATESHEAD HEALTH NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RLT,"GEORGE ELIOT HOSPITAL NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RTE,"GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RN3,"GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RJ1,"GUY'S AND ST THOMAS' NHS FOUNDATION TRUST",35,0,*,,,,,,
I00699,1,"Tuberculosis",RN5,"HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RQX,"HOMERTON HEALTHCARE NHS FOUNDATION TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RWA,"HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST",20,0,*,,,,,,
I00699,1,"Tuberculosis",RYJ,"IMPERIAL COLLEGE HEALTHCARE NHS TRUST",60,*,*,,,,,,
I00699,1,"Tuberculosis",R1F,"ISLE OF WIGHT NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RGP,"JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RNQ,"KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RJZ,"KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST",20,0,*,,,,,,
I00699,1,"Tuberculosis",RAX,"KINGSTON HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RXN,"LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RR8,"LEEDS TEACHING HOSPITALS NHS TRUST",25,*,*,,,,,,
I00699,1,"Tuberculosis",RJ2,"LEWISHAM AND GREENWICH NHS TRUST",15,*,*,,,,,,
I00699,1,"Tuberculosis",REM,"LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",20,*,*,,,,,,
I00699,1,"Tuberculosis",R1K,"LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST",115,*,*,,,,,,
I00699,1,"Tuberculosis",RWF,"MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",R0A,"MANCHESTER UNIVERSITY NHS FOUNDATION TRUST",85,*,*,,,,,,
I00699,1,"Tuberculosis",RPA,"MEDWAY NHS FOUNDATION TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RAJ,"MID AND SOUTH ESSEX NHS FOUNDATION TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RBT,"MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RXF,"MID YORKSHIRE HOSPITALS NHS TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RD8,"MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RM1,"NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RVJ,"NORTH BRISTOL NHS TRUST",*,*,*,,,,,,
I00699,1,"Tuberculosis",RNN,"NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RAP,"NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST",20,*,*,,,,,,
I00699,1,"Tuberculosis",RVW,"NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RGN,"NORTH WEST ANGLIA NHS FOUNDATION TRUST",15,0,*,,,,,,
I00699,1,"Tuberculosis",RNS,"NORTHAMPTON GENERAL HOSPITAL NHS TRUST",10,0,*,,,,,,
I00699,1,"Tuberculosis",RM3,"NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST",25,*,*,,,,,,
I00699,1,"Tuberculosis",RJL,"NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RTF,"NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RX1,"NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST",35,0,*,,,,,,
I00699,1,"Tuberculosis",RTH,"OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST",25,*,*,,,,,,
I00699,1,"Tuberculosis",RHU,"PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",RHW,"ROYAL BERKSHIRE NHS FOUNDATION TRUST",10,*,*,,,,,,
I00699,1,"Tuberculosis",REF,"ROYAL CORNWALL HOSPITALS NHS TRUST",*,0,*,,,,,,
I00699,1,"Tuberculosis",RH8,"ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST",*,0,*,,,,,,
