INDICATOR_CODE,DIAGNOSIS_GROUP,AIC_FULL,SCHWARTZ_FULL,NEG2LOGL_FULL,AIC_INTERCEPT,SCHWARTZ_INTERCEPT,NEG2LOGL_INTERCEPT,LIKELIHOOD_RATIO_CHI_SQUARE,LIKELIHOOD_RATIO_DF,LIKELIHOOD_RATIO_P_VALUE,SCORE_CHI_SQUARE,SCORE_DF,SCORE_P_VALUE,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PERCENT_CONCORDANT,PERCENT_DISCORDANT,PERCENT_TIED,PAIRS,SOMERS_D,GAMMA,TAU_A,C
I00699,1,1308.342,1548.8211,1234.342,1578.203,1584.7025,1576.203,341.8611,36,0,418.5983,36,0,240.7224,36,0,85.7646,14.2108,0.0246,874495,0.7155,0.7157,0.0519,0.8578
I00699,2,301594.6542,301990.3888,301520.6542,332732.5541,332743.2496,332730.5541,31209.8999,36,0,27255.3859,36,0,20251.6676,36,0,70.4673,29.443,0.0897,17472262808,0.4102,0.4106,0.1347,0.7051
I00699,3,7470.5395,7759.0764,7396.5395,8553.7098,8561.5081,8551.7098,1155.1702,36,0,1027.7658,36,0,572.3111,36,0,77.4693,22.4576,0.0731,19380950,0.5501,0.5505,0.0658,0.7751
I00699,4,3059.3079,3328.3441,2985.3079,3500.8353,3508.1066,3498.8353,513.5274,36,0,488.7978,36,0,285.7487,36,0,80.3825,19.5847,0.0328,4228596,0.608,0.6082,0.0455,0.804
I00699,5,441.5898,552.2566,405.5898,507.9181,514.0663,505.9181,100.3283,17,0,91.9937,17,0,52.6687,17,0,86.9983,12.3949,0.6068,163632,0.746,0.7506,0.0204,0.873
I00699,6,15429.1664,15823.2934,15355.1664,25167.9066,25178.5587,25165.9066,9810.7402,36,0,25491.1079,36,0,3234.166,36,0,96.4454,3.5438,0.0109,650732652,0.929,0.9291,0.0124,0.9645
I00699,7,12153.7229,12468.3637,12079.7229,16449.2099,16457.7137,16447.2099,4367.487,36,0,4854.9421,36,0,2695.8024,36,0,87.0747,12.9018,0.0236,74364165,0.7417,0.7419,0.083,0.8709
I00699,8,18949.7781,19216.4692,18883.7781,22795.507,22803.5886,22793.507,3909.7289,32,0,3344.2468,32,0,2546.9361,32,0,78.1212,21.8262,0.0526,85625001,0.563,0.5632,0.1688,0.7815
I00699,9,11782.126,12049.8314,11712.126,14739.6133,14747.262,14737.6133,3025.4872,34,0,2608.6612,34,0,1832.7707,34,0,80.4888,19.4677,0.0436,35871601,0.6102,0.6105,0.1822,0.8051
I00699,10,29303.296,29632.6184,29231.296,40805.2401,40814.3879,40803.2401,11571.944,35,0,11301.65,35,0,6335.9137,35,0,87.2356,12.7366,0.0278,379967193,0.745,0.7452,0.1175,0.8725
I00699,11,15043.3028,15329.3522,14977.3028,21861.6937,21870.3619,21859.6937,6882.3909,32,0,7289.0052,32,0,3767.8992,32,0,88.9704,11.0061,0.0235,120636920,0.7796,0.7798,0.1019,0.8898
I00699,12,14757.1154,15050.4599,14683.1154,19623.5932,19631.5215,19621.5932,4938.4779,36,0,4337.1546,36,0,2734.5304,36,0,83.1723,16.7872,0.0404,63308844,0.6639,0.6641,0.2,0.8319
I00699,13,23705.5202,23998.0976,23633.5202,28818.5065,28826.6337,28816.5065,5182.9864,35,0,4346.1004,35,0,3315.349,35,0,77.8306,22.1142,0.0552,121229850,0.5572,0.5575,0.2159,0.7786
I00699,14,9550.5963,9829.3816,9476.5963,12098.0822,12105.6169,12096.0822,2619.4859,36,0,2328.668,36,0,1571.4483,36,0,81.8439,18.1169,0.0392,25524327,0.6373,0.6375,0.17,0.8186
I00699,15,60733.0151,61072.9485,60659.0151,78188.9343,78198.1217,78186.9343,17527.9192,36,0,14156.8154,36,0,8734.4589,36,0,80.1122,19.8301,0.0577,928402320,0.6028,0.6032,0.2146,0.8014
I00699,16,3504.7539,3725.9005,3436.7539,4349.8424,4356.3467,4347.8424,911.0884,33,0,789.5083,33,0,523.5066,33,0,81.3119,18.6285,0.0596,3282048,0.6268,0.6272,0.1689,0.8134
I00699,17,5153.3206,5451.4638,5079.3206,8246.4373,8254.4952,8244.4373,3165.1167,36,0,3911.8757,36,0,1477.5834,36,0,92.8397,7.143,0.0174,22297316,0.857,0.8571,0.0702,0.9285
I00699,18,13988.0681,14315.0297,13918.0681,26627.9238,26637.2656,26625.9238,12707.8557,34,0,18206.4345,34,0,4183.9186,34,0,95.3147,4.6628,0.0225,252401380,0.9065,0.9067,0.0644,0.9533
I00699,19,4754.1794,5020.1206,4688.1794,8733.1845,8741.2433,8731.1845,4043.0051,32,0,5859.2389,32,0,1703.9719,32,0,94.4956,5.4802,0.0242,23999868,0.8902,0.8904,0.0783,0.9451
I00699,20,4323.3686,4596.4544,4253.3686,6658.6988,6666.5013,6656.6988,2403.3302,34,0,2781.3968,34,0,1155.1021,34,0,92.1411,7.8354,0.0234,14102237,0.8431,0.8433,0.0728,0.9215
I00699,21,9543.9043,9829.0668,9471.9043,13155.0606,13162.9818,13153.0606,3681.1563,35,0,3509.9655,35,0,1973.4929,35,0,86.6969,13.2418,0.0612,36991780,0.7346,0.735,0.1311,0.8673
I00699,22,15800.6801,16134.6642,15726.6801,26240.0895,26249.1161,26238.0895,10511.4094,36,0,11339.7792,36,0,2949.4219,36,0,92.7199,7.2256,0.0544,196952220,0.8549,0.8554,0.0891,0.9275
I00699,23,13985.8832,14326.3002,13911.8832,22823.8019,22833.0023,22821.8019,8909.9187,36,0,13560.6961,36,0,4993.5091,36,0,92.5236,7.4543,0.0221,187201395,0.8507,0.8509,0.0595,0.9253
I00699,24,9018.5904,9327.3814,8944.5904,13745.2427,13753.5884,13743.2427,4798.6523,36,0,5295.1839,36,0,2210.9553,36,0,90.9684,9.0063,0.0253,52726350,0.8196,0.8198,0.0892,0.9098
I00699,25,13357.2765,13658.0003,13283.2765,16040.6688,16048.7965,16038.6688,2755.3923,36,0,2535.7982,36,0,1665.1966,36,0,79.9864,19.9902,0.0234,55311200,0.6,0.6001,0.106,0.8
I00699,26,1042.3832,1295.6916,970.3832,1586.5084,1593.5448,1584.5084,614.1252,35,0,1076.6567,35,0,354.1092,35,0,94.3369,5.6556,0.0074,1318880,0.8868,0.8869,0.0331,0.9434
I00699,27,27206.2078,27545.6658,27132.2078,32525.9521,32535.1266,32523.9521,5391.7442,36,0,5275.7052,36,0,3810.1262,36,0,80.8405,19.1381,0.0214,288504395,0.617,0.6172,0.0701,0.8085
I00699,28,12037.952,12316.7739,11971.952,14883.7627,14892.2119,14881.7627,2909.8107,32,0,2991.1118,32,0,1930.8579,32,0,83.3962,16.5767,0.0271,62889050,0.6682,0.6684,0.0706,0.8341
