INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-0.939,0.3398,7.6346,1,0.0057
I00699,1,ADMIMETH_2,0,,,0,
I00699,1,ADMIMETH_3,0,,,0,
I00699,1,ADMISSION_MONTH_1,-0.3829,0.4096,0.8739,1,0.3499
I00699,1,ADMISSION_MONTH_2,-0.5385,0.4379,1.5121,1,0.2188
I00699,1,ADMISSION_MONTH_3,0.2218,0.3493,0.4032,1,0.5254
I00699,1,ADMISSION_MONTH_4,-0.4583,0.4215,1.1822,1,0.2769
I00699,1,ADMISSION_MONTH_5,-0.0353,0.3424,0.0106,1,0.9179
I00699,1,ADMISSION_MONTH_6,-0.5869,0.3855,2.318,1,0.1279
I00699,1,ADMISSION_MONTH_7,0,,,0,
I00699,1,ADMISSION_MONTH_8,0.1665,0.3565,0.2181,1,0.6405
I00699,1,ADMISSION_MONTH_9,-0.0104,0.354,0.0009,1,0.9765
I00699,1,ADMISSION_MONTH_10,0.3626,0.3409,1.1313,1,0.2875
I00699,1,ADMISSION_MONTH_11,0.2932,0.3445,0.7243,1,0.3947
I00699,1,ADMISSION_MONTH_12,-0.0423,0.373,0.0129,1,0.9097
I00699,1,AGE_GROUP_1,1.5029,1.0955,1.8822,1,0.1701
I00699,1,AGE_GROUP_2,-12.7031,952.9417,0.0002,1,0.9894
I00699,1,AGE_GROUP_3,-12.7098,1290.3759,0.0001,1,0.9921
I00699,1,AGE_GROUP_4,-12.7517,787.1357,0.0003,1,0.9871
I00699,1,AGE_GROUP_5,-0.5488,1.0758,0.2602,1,0.61
I00699,1,AGE_GROUP_6,0.4071,0.6348,0.4113,1,0.5213
I00699,1,AGE_GROUP_7,0,,,0,
I00699,1,AGE_GROUP_8,0.1639,0.6346,0.0667,1,0.7962
I00699,1,AGE_GROUP_9,0.0765,0.6324,0.0146,1,0.9037
I00699,1,AGE_GROUP_10,0.3918,0.5922,0.4376,1,0.5083
I00699,1,AGE_GROUP_11,1.202,0.4769,6.3522,1,0.0117
I00699,1,AGE_GROUP_12,1.4021,0.4743,8.7375,1,0.0031
I00699,1,AGE_GROUP_13,1.5819,0.4698,11.3383,1,0.0008
I00699,1,AGE_GROUP_14,1.8571,0.4695,15.648,1,0.0001
I00699,1,AGE_GROUP_15,2.2269,0.4497,24.5179,1,0
I00699,1,AGE_GROUP_16,2.4806,0.4571,29.4563,1,0
I00699,1,AGE_GROUP_17,2.3004,0.4587,25.145,1,0
I00699,1,AGE_GROUP_18,2.7378,0.4739,33.3763,1,0
I00699,1,AGE_GROUP_19,2.6237,0.5135,26.1102,1,0
I00699,1,AGE_GROUP_20,3.1426,0.7973,15.538,1,0.0001
I00699,1,AGE_GROUP_21,0,,,0,
I00699,1,BIRTHWEIGHT_6,0,,,0,
I00699,1,CHARLSON_INDEX_1,0,,,0,
I00699,1,CHARLSON_INDEX_2,1.1718,0.231,25.7443,1,0
I00699,1,CHARLSON_INDEX_3,1.4225,0.2304,38.1294,1,0
I00699,1,GENDER_1,0,,,0,
I00699,1,GENDER_2,-0.3716,0.1782,4.3481,1,0.0371
I00699,1,GENDER_3,0,,,0,
I00699,1,Intercept,-5.2408,0.482,118.2316,1,0
I00699,1,YEAR_INDEX_1,0,,,0,
I00699,1,YEAR_INDEX_2,0.4777,0.2014,5.6243,1,0.0177
I00699,1,YEAR_INDEX_3,0.1222,0.2009,0.3698,1,0.5431
I00699,2,ADMIMETH_1,-0.3538,0.0392,81.4026,1,0
I00699,2,ADMIMETH_2,0,,,0,
I00699,2,ADMIMETH_3,0,,,0,
I00699,2,ADMISSION_MONTH_1,0.2726,0.022,154.019,1,0
I00699,2,ADMISSION_MONTH_2,0.2175,0.0223,95.1391,1,0
I00699,2,ADMISSION_MONTH_3,0.2268,0.0221,105.3803,1,0
I00699,2,ADMISSION_MONTH_4,0.1494,0.0222,45.2778,1,0
I00699,2,ADMISSION_MONTH_5,0.0351,0.022,2.5515,1,0.1102
I00699,2,ADMISSION_MONTH_6,-0.0188,0.022,0.7293,1,0.3931
I00699,2,ADMISSION_MONTH_7,0.0077,0.0215,0.1298,1,0.7186
