INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00731,ENG,ENGLAND,6043,982815,1
I00731,RCF,AIREDALE NHS FOUNDATION TRUST,10,2005,0
I00731,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,10,6350,0
I00731,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",45,7750,1
I00731,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,25,3095,1
I00731,R1H,BARTS HEALTH NHS TRUST,95,17990,1
I00731,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,35,9215,0
I00731,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,50,5080,1
I00731,RMC,BOLTON NHS FOUNDATION TRUST,40,4470,1
I00731,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,20,4920,0
I00731,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,35,3835,1
I00731,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,15,4675,0
I00731,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,60,12860,0
I00731,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,25,10040,0
I00731,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,10,3525,0
I00731,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,15,2985,1
I00731,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,15,4685,0
I00731,RJ6,CROYDON HEALTH SERVICES NHS TRUST,*,3085,*
I00731,RN7,DARTFORD AND GRAVESHAM NHS TRUST,20,7230,0
I00731,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,30,8280,0
I00731,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,15,2200,1
I00731,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,20,5780,0
I00731,RJN,EAST CHESHIRE NHS TRUST,*,1110,*
I00731,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,60,10405,1
I00731,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,55,10220,1
I00731,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,60,10145,1
I00731,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,35,5565,1
