INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00732,ENG,ENGLAND,253541,7322306,3.5
I00732,RCF,AIREDALE NHS FOUNDATION TRUST,900,29150,3.1
I00732,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1630,51595,3.2
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2480,74670,3.3
I00732,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1465,42395,3.5
I00732,R1H,BARTS HEALTH NHS TRUST,3050,101470,3
I00732,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,2790,96975,2.9
I00732,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1955,48465,4
I00732,RMC,BOLTON NHS FOUNDATION TRUST,1440,49520,2.9
I00732,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1630,74605,2.2
I00732,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1520,57295,2.7
I00732,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2140,55685,3.8
I00732,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2060,48035,4.3
I00732,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1560,82180,1.9
I00732,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1740,49470,3.5
I00732,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1265,37445,3.4
I00732,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2970,73540,4
I00732,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1050,24350,4.3
I00732,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1335,44900,3
I00732,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2270,51725,4.4
I00732,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1085,22800,4.8
I00732,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1760,42945,4.1
I00732,RJN,EAST CHESHIRE NHS TRUST,760,11295,6.7
I00732,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3135,78715,4
I00732,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2450,73105,3.4
I00732,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,3745,85160,4.4
I00732,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2385,49730,4.8
I00732,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1585,30510,5.2
I00732,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,560,15975,3.5
I00732,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1225,31205,3.9
I00732,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1110,25855,4.3
I00732,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2455,80510,3
I00732,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1555,48540,3.2
I00732,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1345,64460,2.1
I00732,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2050,63680,3.2
I00732,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,930,22945,4.1
I00732,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,545,42010,1.3
I00732,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,2915,68155,4.3
I00732,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1925,78480,2.5
I00732,R1F,ISLE OF WIGHT NHS TRUST,890,16910,5.3
I00732,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1395,27300,5.1
I00732,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1645,41860,3.9
I00732,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2620,72200,3.6
I00732,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1005,49975,2
I00732,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2030,62215,3.3
I00732,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3460,70000,4.9
I00732,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2170,77755,2.8
I00732,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3620,70555,5.1
I00732,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,2185,93820,2.3
