INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,PRE_EXCLUSION_SPELLS,COVID19_SPELLS,POST_EXCLUSION_SPELLS,EXCLUSION_RATE
I02039,ENG,ENGLAND,8648017,342896,8305121,4
I02039,RCF,AIREDALE NHS FOUNDATION TRUST,32995,1840,31155,5.6
I02039,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,59545,1600,57945,2.7
I02039,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",85120,2705,82420,3.2
I02039,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,47865,2375,45495,5
I02039,R1H,BARTS HEALTH NHS TRUST,124130,4670,119460,3.8
I02039,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,110095,3910,106190,3.6
I02039,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,56420,2875,53545,5.1
I02039,RMC,BOLTON NHS FOUNDATION TRUST,56190,2200,53990,3.9
I02039,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,81520,1995,79525,2.4
I02039,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,63160,2030,61130,3.2
I02039,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,63155,2795,60360,4.4
I02039,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,63950,3055,60895,4.8
I02039,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,94920,2700,92225,2.8
I02039,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,54870,1875,52995,3.4
I02039,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,42540,2105,40430,4.9
I02039,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,81900,3675,78225,4.5
I02039,RJ6,CROYDON HEALTH SERVICES NHS TRUST,29170,1740,27430,6
I02039,RN7,DARTFORD AND GRAVESHAM NHS TRUST,54290,2160,52130,4
I02039,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,63200,3195,60010,5.1
I02039,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,26195,1195,25005,4.6
I02039,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,51285,2555,48725,5
I02039,RJN,EAST CHESHIRE NHS TRUST,13595,1190,12405,8.8
I02039,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,92980,3860,89120,4.2
I02039,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,86365,3040,83325,3.5
I02039,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,100520,5215,95305,5.2
I02039,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,57880,2590,55290,4.5
I02039,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,40335,2475,37860,6.1
I02039,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,19465,1125,18340,5.8
I02039,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,36070,1840,34225,5.1
I02039,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,28810,930,27875,3.2
I02039,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,95860,3240,92615,3.4
I02039,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,56385,2170,54215,3.8
I02039,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,103550,2475,101075,2.4
I02039,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,72130,2945,69185,4.1
I02039,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,26665,1300,25365,4.9
I02039,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,45545,1420,44125,3.1
I02039,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,83600,2980,80615,3.6
I02039,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,99190,3220,95970,3.2
I02039,R1F,ISLE OF WIGHT NHS TRUST,19580,995,18585,5.1
I02039,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,32610,1715,30895,5.3
I02039,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,47615,1910,45710,4
I02039,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,92000,4185,87815,4.5
I02039,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,54405,2070,52340,3.8
I02039,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,77095,3125,73970,4.1
I02039,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,97725,5685,92035,5.8
I02039,RJ2,LEWISHAM AND GREENWICH NHS TRUST,84730,2665,82070,3.1
I02039,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,88375,4115,84255,4.7
I02039,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,106110,3720,102390,3.5
I02039,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,92185,2670,89510,2.9
I02039,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,189845,5950,183890,3.1
I02039,RPA,MEDWAY NHS FOUNDATION TRUST,54420,1555,52865,2.9
I02039,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,170920,5070,165850,3
I02039,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,52490,2235,50255,4.3
I02039,RXF,MID YORKSHIRE TEACHING NHS TRUST,83615,4355,79265,5.2
I02039,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,51405,1640,49760,3.2
I02039,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,74765,3020,71745,4
I02039,RVJ,NORTH BRISTOL NHS TRUST,90975,2505,88470,2.8
I02039,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,44700,2395,42305,5.4
I02039,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,33730,1380,32350,4.1
I02039,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,58105,1685,56420,2.9
I02039,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,76660,3240,73415,4.2
I02039,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,74565,2525,72045,3.4
I02039,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,120690,4910,115780,4.1
I02039,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,68515,1615,66895,2.4
I02039,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,98440,4010,94430,4.1
I02039,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,138130,5890,132240,4.3
I02039,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,120275,4130,116145,3.4
I02039,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,90955,5485,85465,6
I02039,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,66545,2825,63715,4.2
I02039,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,59660,2240,57415,3.8
I02039,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,90780,4340,86440,4.8
I02039,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,93325,3405,89925,3.6
I02039,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,54285,1585,52700,2.9
I02039,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,58910,2425,56490,4.1
I02039,RNZ,SALISBURY NHS FOUNDATION TRUST,33270,1145,32125,3.4
I02039,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,63205,2750,60450,4.4
I02039,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,112900,4285,108615,3.8
I02039,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,61125,2975,58150,4.9
I02039,RH5,SOMERSET NHS FOUNDATION TRUST,79750,4265,75485,5.3
I02039,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,78270,2740,75530,3.5
I02039,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,80010,3270,76740,4.1
I02039,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,41135,1470,39665,3.6
I02039,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,30845,1545,29300,5
I02039,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,63105,2675,60435,4.2
I02039,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,82660,2190,80470,2.6
I02039,RWJ,STOCKPORT NHS FOUNDATION TRUST,53770,1910,51855,3.6
I02039,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,52815,2660,50150,5
I02039,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,37200,985,36215,2.6
I02039,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,70555,1675,68880,2.4
I02039,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,37670,1605,36065,4.3
I02039,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,107585,3225,104360,3
I02039,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,41140,1360,39780,3.3
I02039,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",43155,1980,41175,4.6
I02039,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,46680,1990,44685,4.3
I02039,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,101505,3070,98435,3
I02039,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,68000,3340,64665,4.9
I02039,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,37435,1650,35785,4.4
I02039,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,75765,2825,72940,3.7
I02039,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,74390,1950,72440,2.6
I02039,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,92265,3385,88880,3.7
I02039,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,208040,11090,196950,5.3
I02039,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,92555,3005,89545,3.2
I02039,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,98850,3350,95505,3.4
I02039,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,90665,3830,86835,4.2
I02039,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,128550,6005,122545,4.7
I02039,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,151485,6640,144845,4.4
I02039,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,51410,2510,48900,4.9
I02039,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,134720,5280,129440,3.9
I02039,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,69490,2755,66735,4
I02039,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,130885,5380,125505,4.1
I02039,RBK,WALSALL HEALTHCARE NHS TRUST,65055,1930,63125,3
I02039,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,37670,2135,35535,5.7
I02039,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,60065,2370,57700,3.9
I02039,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,37450,2300,35145,6.1
I02039,RKE,WHITTINGTON HEALTH NHS TRUST,21585,1195,20390,5.5
I02039,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,60620,2425,58195,4
I02039,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,72130,2750,69380,3.8
I02039,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",42025,1655,40375,3.9
I02039,RLQ,WYE VALLEY NHS TRUST,30940,1250,29690,4
I02039,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,87040,3590,83450,4.1
