INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SPELLS,ELECTIVE_SPELLS,NON_ELECTIVE_SPELLS,PRE_PANDEMIC_SPELLS,PRE_PANDEMIC_ELECTIVE_SPELLS,PRE_PANDEMIC_NON_ELECTIVE_SPELLS,OVERALL_RATE,ELECTIVE_RATE,NON_ELECTIVE_RATE
I02040,ENG,ENGLAND,8305121,982815,7322306,9436012,1220372,8215640,88,81,89
I02040,RCF,AIREDALE NHS FOUNDATION TRUST,31155,2005,29150,33765,2415,31345,92,83,93
I02040,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,57945,6350,51595,45360,7090,38270,128,90,135
I02040,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",82420,7750,74670,84730,8045,76685,97,96,97
I02040,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,45495,3095,42395,49130,3715,45415,93,83,93
I02040,R1H,BARTS HEALTH NHS TRUST,119460,17990,101470,176855,21650,155205,68,83,65
I02040,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,106190,9215,96975,121255,9875,111380,88,93,87
I02040,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,53545,5080,48465,56120,6265,49850,95,81,97
I02040,RMC,BOLTON NHS FOUNDATION TRUST,53990,4470,49520,61190,4345,56845,88,103,87
I02040,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,79525,4920,74605,96415,6975,89440,82,71,83
I02040,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,61130,3835,57295,63935,5590,58350,96,69,98
I02040,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,60360,4675,55685,71130,5640,65485,85,83,85
I02040,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,60895,12860,48035,75815,14990,60825,80,86,79
I02040,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,92225,10040,82180,98030,7890,90140,94,127,91
I02040,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,52995,3525,49470,51645,3980,47665,103,89,104
I02040,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,40430,2985,37445,49070,4410,44660,82,68,84
I02040,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,78225,4685,73540,80970,5860,75115,97,80,98
I02040,RJ6,CROYDON HEALTH SERVICES NHS TRUST,27430,3085,24350,35710,3030,32680,77,102,75
I02040,RN7,DARTFORD AND GRAVESHAM NHS TRUST,52130,7230,44900,57055,10475,46580,91,69,96
I02040,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,60010,8280,51725,74005,9525,64480,81,87,80
I02040,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,25005,2200,22800,29015,3270,25740,86,67,89
I02040,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,48725,5780,42945,68715,7180,61535,71,81,70
I02040,RJN,EAST CHESHIRE NHS TRUST,12405,1110,11295,20070,1470,18600,62,76,61
I02040,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,89120,10405,78715,110485,13620,96865,81,76,81
I02040,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,83325,10220,73105,90355,10370,79985,92,99,91
I02040,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,95305,10145,85160,111440,12435,99005,86,82,86
I02040,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,55290,5565,49730,64720,5755,58970,85,97,84
I02040,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,37860,7350,30510,63995,8490,55505,59,87,55
I02040,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,18340,2365,15975,126640,15825,110815,14,15,14
I02040,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,34225,3020,31205,32900,4005,28895,104,75,108
I02040,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,27875,2020,25855,24065,2075,21990,116,97,118
I02040,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,92615,12105,80510,94335,15755,78580,98,77,102
I02040,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,54215,5675,48540,62735,7275,55460,86,78,88
I02040,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,101075,36615,64460,97350,28605,68745,104,128,94
I02040,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,69185,5505,63680,69125,7085,62045,100,78,103
I02040,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,25365,2420,22945,28450,3485,24965,89,69,92
I02040,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,44125,2115,42010,45625,3200,42425,97,66,99
I02040,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,80615,12460,68155,85630,15780,69845,94,79,98
I02040,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,95970,17490,78480,111445,18890,92555,86,93,85
I02040,R1F,ISLE OF WIGHT NHS TRUST,18585,1680,16910,18270,1890,16380,102,89,103
I02040,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,30895,3595,27300,34000,3735,30265,91,96,90
I02040,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,45710,3845,41860,51470,4430,47040,89,87,89
I02040,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,87815,15615,72200,113565,24030,89535,77,65,81
I02040,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,52340,2365,49975,62265,3930,58340,84,60,86
I02040,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,73970,11755,62215,79350,11205,68145,93,105,91
I02040,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,92035,22040,70000,120875,23970,96905,76,92,72
I02040,RJ2,LEWISHAM AND GREENWICH NHS TRUST,82070,4315,77755,92655,4510,88140,89,96,88
I02040,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,84255,13700,70555,117055,13930,103125,72,98,68
I02040,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,102390,8570,93820,106020,9565,96455,97,90,97
I02040,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,89510,6540,82970,78355,7090,71270,114,92,116
I02040,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,183890,28210,155685,177400,30650,146750,104,92,106
I02040,RPA,MEDWAY NHS FOUNDATION TRUST,52865,4420,48450,55520,5185,50335,95,85,96
I02040,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,165850,16655,149195,192960,19435,173525,86,86,86
I02040,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,50255,2740,47520,52430,3135,49295,96,87,96
I02040,RXF,MID YORKSHIRE TEACHING NHS TRUST,79265,5805,73455,93450,7325,86125,85,79,85
I02040,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,49760,3290,46475,43445,3590,39855,115,92,117
I02040,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,71745,10675,61070,90635,12900,77740,79,83,79
