INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,ENG,ENGLAND,5.7334,19
I01965,RCF,AIREDALE NHS FOUNDATION TRUST,4.7961,13
I01965,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,4.2649,12
I01965,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",5.6669,19
I01965,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6.8317,19
I01965,R1H,BARTS HEALTH NHS TRUST,7.949,19
I01965,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,5.4822,19
I01965,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,6.7876,19
I01965,RMC,BOLTON NHS FOUNDATION TRUST,5.4535,19
I01965,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,5.1322,15
I01965,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,5.7788,19
I01965,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,5.4856,19
I01965,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4.0155,19
I01965,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,5.0908,19
I01965,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,4.6687,19
I01965,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4.743,19
I01965,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,5.4942,19
I01965,RJ6,CROYDON HEALTH SERVICES NHS TRUST,4.0441,19
I01965,RN7,DARTFORD AND GRAVESHAM NHS TRUST,5.1858,19
I01965,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,3.9754,19
I01965,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4.9287,19
I01965,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4.4929,19
I01965,RJN,EAST CHESHIRE NHS TRUST,5.4269,12
I01965,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,6.0239,19
I01965,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,4.9475,13
I01965,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,5.8966,19
