INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01966,ENG,ENGLAND,5.6215,19
I01966,RCF,AIREDALE NHS FOUNDATION TRUST,4.411,13
I01966,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,4.6944,12
I01966,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",5.2496,19
I01966,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6.7328,19
I01966,R1H,BARTS HEALTH NHS TRUST,7.3165,19
I01966,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,5.3572,19
I01966,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,6.0685,19
I01966,RMC,BOLTON NHS FOUNDATION TRUST,5.0595,19
I01966,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,3.8187,15
I01966,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,4.2176,19
I01966,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,6.2112,19
I01966,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.6343,19
I01966,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,5.3081,19
I01966,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,5.1587,19
I01966,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,4.949,19
I01966,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,4.7648,19
I01966,RJ6,CROYDON HEALTH SERVICES NHS TRUST,5.7509,19
I01966,RN7,DARTFORD AND GRAVESHAM NHS TRUST,4.7752,19
I01966,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,4.8468,19
I01966,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,5.3857,19
I01966,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,5.727,19
I01966,RJN,EAST CHESHIRE NHS TRUST,6.6563,12
