INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,ENGLAND,259584,183378,76206,71,29
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,910,595,315,65,35
I00733,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1645,1200,445,73,27
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2525,1750,780,69,31
I00733,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1485,1045,445,70,30
I00733,R1H,BARTS HEALTH NHS TRUST,3145,2495,650,79,21
I00733,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,2825,1880,945,67,33
I00733,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2005,1330,675,66,34
I00733,RMC,BOLTON NHS FOUNDATION TRUST,1480,1055,425,71,29
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1655,1135,520,69,31
I00733,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1555,1145,410,74,26
I00733,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2155,1445,715,67,33
I00733,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2125,1420,705,67,33
I00733,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1590,1175,410,74,26
I00733,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1750,1205,545,69,31
I00733,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1280,940,340,73,27
I00733,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2990,1955,1030,65,34
I00733,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1055,790,265,75,25
I00733,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1355,955,400,70,30
I00733,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2305,1600,705,69,31
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1100,740,360,67,33
I00733,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1780,1150,630,65,35
I00733,RJN,EAST CHESHIRE NHS TRUST,760,545,215,72,28
I00733,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3195,2070,1125,65,35
I00733,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2505,1675,830,67,33
I00733,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,3805,2600,1205,68,32
I00733,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2420,1660,760,69,31
I00733,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1600,1230,370,77,23
I00733,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,570,375,195,66,34
I00733,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1255,925,330,74,26
I00733,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1135,775,360,68,32
I00733,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2505,1770,735,71,29
I00733,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1705,1230,475,72,28
I00733,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1615,1205,410,75,25
I00733,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2070,1500,570,72,28
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,940,670,270,71,29
I00733,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,555,425,130,77,23
I00733,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,3060,2145,915,70,30
I00733,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2005,1520,485,76,24
I00733,R1F,ISLE OF WIGHT NHS TRUST,890,630,260,71,29
I00733,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1425,1000,425,70,30
I00733,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1665,1190,475,71,29
