INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,ENGLAND,259584,5714,104365,105079,2,40,40
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,910,0,190,190,0,21,21
I00721,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1645,10,890,890,1,54,54
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2525,0,955,955,0,38,38
I00721,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1485,0,375,375,0,25,25
I00721,R1H,BARTS HEALTH NHS TRUST,3145,230,1105,1115,7,35,35
I00721,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,2825,0,955,955,0,34,34
I00721,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2005,0,890,890,0,44,44
I00721,RMC,BOLTON NHS FOUNDATION TRUST,1480,0,495,495,0,33,33
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1655,0,555,555,0,34,34
I00721,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1555,230,895,920,15,58,59
I00721,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2155,0,810,810,0,38,38
I00721,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2125,*,1005,1005,*,47,47
I00721,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1590,*,830,830,*,52,52
I00721,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1750,0,410,410,0,23,23
I00721,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1280,0,530,530,0,41,41
I00721,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2990,0,1680,1680,0,56,56
I00721,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1055,*,575,575,*,55,55
I00721,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1355,*,705,705,*,52,52
I00721,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2305,0,1070,1070,0,46,46
I00721,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1100,0,515,515,0,47,47
I00721,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1780,*,715,715,*,40,40
I00721,RJN,EAST CHESHIRE NHS TRUST,760,0,175,175,0,23,23
I00721,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3195,0,1535,1535,0,48,48
I00721,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2505,0,755,755,0,30,30
I00721,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,3805,25,1565,1590,1,41,42
I00721,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2420,*,1010,1010,*,42,42
I00721,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1600,0,790,790,0,49,49
I00721,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,570,0,230,230,0,40,40
I00721,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1255,140,545,550,11,43,44
I00721,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1135,0,405,405,0,36,36
I00721,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2505,0,1110,1110,0,44,44
I00721,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1705,10,735,735,1,43,43
I00721,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1615,0,800,800,0,50,50
I00721,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2070,435,1275,1280,21,62,62
I00721,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,940,0,390,390,0,41,41
I00721,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,555,0,225,225,0,41,41
I00721,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,3060,25,975,985,1,32,32
I00721,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2005,0,1280,1280,0,64,64
I00721,R1F,ISLE OF WIGHT NHS TRUST,890,0,575,575,0,65,65
I00721,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1425,0,545,545,0,38,38
I00721,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1665,0,760,760,0,46,46
I00721,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,2685,0,1345,1345,0,50,50
I00721,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1015,0,535,535,0,53,53
I00721,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2140,0,1195,1195,0,56,56
I00721,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,3590,0,1165,1165,0,32,32
I00721,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2180,0,810,810,0,37,37
I00721,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3725,335,2090,2145,9,56,58
I00721,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,2220,0,765,765,0,34,34
I00721,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2270,0,780,780,0,34,34
I00721,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,4065,*,1685,1690,*,41,42
I00721,RPA,MEDWAY NHS FOUNDATION TRUST,1705,0,755,755,0,44,44
I00721,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,5845,255,1705,1775,4,29,30
I00721,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1450,0,355,355,0,24,24
I00721,RXF,MID YORKSHIRE TEACHING NHS TRUST,2650,0,970,970,0,37,37
I00721,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1320,0,615,615,0,47,47
I00721,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3290,10,1780,1780,0,54,54
I00721,RVJ,NORTH BRISTOL NHS TRUST,2235,0,975,975,0,44,44
I00721,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,1730,125,645,655,7,37,38
I00721,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1205,0,515,515,0,43,43
I00721,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1870,0,675,675,0,36,36
I00721,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,2650,0,1110,1110,0,42,42
I00721,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,1705,0,920,920,0,54,54
I00721,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,4235,*,1920,1920,*,45,45
I00721,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2315,0,495,495,0,21,21
I00721,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,2665,545,1000,1070,20,38,40
I00721,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,3945,255,1465,1465,6,37,37
I00721,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3250,515,1795,1795,16,55,55
I00721,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,2890,0,1155,1155,0,40,40
I00721,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,1815,120,1060,1065,7,58,59
I00721,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,1970,*,685,685,*,35,35
I00721,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,3030,*,1265,1265,*,42,42
I00721,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2195,0,820,820,0,37,37
I00721,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,1225,130,640,650,11,52,53
I00721,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1800,0,650,650,0,36,36
I00721,RNZ,SALISBURY NHS FOUNDATION TRUST,1065,185,485,505,17,46,47
I00721,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,1930,95,580,605,5,30,31
I00721,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3375,350,1220,1265,10,36,37
I00721,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,2100,0,285,285,0,14,14
I00721,RH5,SOMERSET NHS FOUNDATION TRUST,2890,0,1035,1035,0,36,36
I00721,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2555,0,1125,1125,0,44,44
I00721,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,3125,185,830,835,6,27,27
I00721,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,1290,0,380,380,0,29,29
I00721,RVY,SOUTHPORT AND ORMSKIRK HOSPITAL NHS TRUST,1140,0,450,450,0,39,39
I00721,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1595,0,915,915,0,57,57
I00721,RBN,ST HELENS AND KNOWSLEY TEACHING HOSPITALS NHS TRUST,2270,0,1225,1225,0,54,54
I00721,RWJ,STOCKPORT NHS FOUNDATION TRUST,1735,0,455,455,0,26,26
I00721,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,1715,0,855,855,0,50,50
I00721,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,1360,0,390,390,0,29,29
I00721,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2310,0,865,865,0,37,37
I00721,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,790,0,375,375,0,47,47
I00721,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2555,0,990,990,0,39,39
I00721,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1230,0,405,405,0,33,33
I00721,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1395,15,450,450,1,32,32
I00721,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1345,0,615,615,0,46,46
I00721,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2305,0,920,920,0,40,40
I00721,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2340,0,715,715,0,31,31
I00721,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,1605,0,750,750,0,47,47
I00721,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3090,0,970,970,0,31,31
I00721,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,980,*,650,650,*,66,66
I00721,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2520,10,750,750,0,30,30
I00721,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,6210,0,1735,1735,0,28,28
I00721,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,2325,0,895,895,0,38,38
I00721,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2655,0,1040,1040,0,39,39
I00721,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,3240,480,1150,1230,15,35,38
I00721,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,4040,660,1230,1400,16,30,35
I00721,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,3830,0,1520,1520,0,40,40
I00721,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,1785,0,670,670,0,38,38
I00721,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,3735,80,1665,1705,2,45,46
I00721,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,2100,0,695,695,0,33,33
I00721,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,4940,0,2255,2255,0,46,46
I00721,RBK,WALSALL HEALTHCARE NHS TRUST,1620,160,610,630,10,38,39
I00721,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,1270,0,600,600,0,47,47
I00721,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,1935,0,985,985,0,51,51
I00721,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1390,0,510,510,0,37,37
I00721,RKE,WHITTINGTON HEALTH NHS TRUST,495,*,200,200,*,40,40
I00721,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,1865,80,1140,1145,4,61,61
I00721,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2730,*,800,800,*,29,29
I00721,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1625,*,775,775,*,48,48
I00721,RLQ,WYE VALLEY NHS TRUST,1160,0,280,280,0,24,24
I00721,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,2745,0,740,740,0,27,27
