INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,ENG,ENGLAND,1101212,8305121,13.3
I01964,RCF,AIREDALE NHS FOUNDATION TRUST,4300,31155,13.8
I01964,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,9590,57945,16.6
I01964,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",20080,82420,24.4
I01964,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,6025,45495,13.2
I01964,R1H,BARTS HEALTH NHS TRUST,9850,119460,8.2
I01964,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,13770,106190,13
I01964,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,7840,53545,14.6
I01964,RMC,BOLTON NHS FOUNDATION TRUST,4525,53990,8.4
I01964,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9870,79525,12.4
I01964,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8840,61130,14.5
I01964,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,4910,60360,8.1
I01964,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5695,60895,9.4
I01964,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,10360,92225,11.2
I01964,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,11025,52995,20.8
I01964,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,3430,40430,8.5
I01964,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,12015,78225,15.4
I01964,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1730,27430,6.3
I01964,RN7,DARTFORD AND GRAVESHAM NHS TRUST,6025,52130,11.6
I01964,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,6085,60010,10.1
I01964,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4675,25005,18.7
I01964,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,3670,48725,7.5
I01964,RJN,EAST CHESHIRE NHS TRUST,955,12405,7.7
I01964,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,10140,89120,11.4
I01964,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,13085,83325,15.7
I01964,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,11920,95305,12.5
I01964,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,8235,55290,14.9
I01964,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,2440,37860,6.4
I01964,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,2265,18340,12.4
I01964,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,4005,34225,11.7
I01964,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,4960,27875,17.8
I01964,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,13780,92615,14.9
I01964,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,9040,54215,16.7
I01964,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,9690,101075,9.6
I01964,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,9875,69185,14.3
I01964,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,3900,25365,15.4
I01964,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,4130,44125,9.4
I01964,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,8490,80615,10.5
I01964,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,5590,95970,5.8
I01964,R1F,ISLE OF WIGHT NHS TRUST,3175,18585,17.1
I01964,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4485,30895,14.5
I01964,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6075,45710,13.3
I01964,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,7995,87815,9.1
I01964,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,5855,52340,11.2
I01964,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,8745,73970,11.8
I01964,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,5775,92035,6.3
I01964,RJ2,LEWISHAM AND GREENWICH NHS TRUST,9070,82070,11.1
I01964,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,11165,84255,13.3
I01964,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,20135,102390,19.7
I01964,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,21830,89510,24.4
I01964,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,14545,183890,7.9
I01964,RPA,MEDWAY NHS FOUNDATION TRUST,8035,52865,15.2
I01964,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,26585,165850,16
I01964,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6740,50255,13.4
I01964,RXF,MID YORKSHIRE TEACHING NHS TRUST,7380,79265,9.3
I01964,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,18265,49760,36.7
I01964,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5250,71745,7.3
I01964,RVJ,NORTH BRISTOL NHS TRUST,14170,88470,16
I01964,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,3735,42305,8.8
I01964,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,2200,32350,6.8
I01964,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,8370,56420,14.8
I01964,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,9835,73415,13.4
I01964,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,8720,72045,12.1
I01964,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,16760,115780,14.5
I01964,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,11770,66895,17.6
I01964,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,15045,94430,15.9
I01964,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,11855,132240,9
I01964,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,15540,116145,13.4
I01964,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,17730,85465,20.7
I01964,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,7035,63715,11
I01964,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,5605,57415,9.8
I01964,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,12000,86440,13.9
I01964,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,5210,89925,5.8
