INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02038,ENG,ENGLAND,74505,8305121,0.9
I02038,RCF,AIREDALE NHS FOUNDATION TRUST,0,31155,0
I02038,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,345,57945,0.6
I02038,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",285,82420,0.3
I02038,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,0,45495,0
I02038,R1H,BARTS HEALTH NHS TRUST,190,119460,0.2
I02038,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0,106190,0
I02038,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,795,53545,1.5
I02038,RMC,BOLTON NHS FOUNDATION TRUST,0,53990,0
I02038,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,520,79525,0.7
I02038,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,625,61130,1
I02038,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,380,60360,0.6
I02038,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,230,60895,0.4
I02038,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,*,92225,*
I02038,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,0,52995,0
I02038,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0,40430,0
I02038,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,2555,78225,3.3
I02038,RJ6,CROYDON HEALTH SERVICES NHS TRUST,0,27430,0
I02038,RN7,DARTFORD AND GRAVESHAM NHS TRUST,10,52130,0
I02038,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,620,60010,1
I02038,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,0,25005,0
I02038,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,0,48725,0
I02038,RJN,EAST CHESHIRE NHS TRUST,0,12405,0
I02038,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,600,89120,0.7
I02038,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2290,83325,2.7
I02038,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,840,95305,0.9
I02038,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,0,55290,0
I02038,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,160,37860,0.4
I02038,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,130,18340,0.7
I02038,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,0,34225,0
I02038,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,0,27875,0
I02038,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,0,92615,0
I02038,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,0,54215,0
I02038,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,280,101075,0.3
I02038,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,745,69185,1.1
I02038,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,155,25365,0.6
I02038,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,0,44125,0
I02038,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,1070,80615,1.3
