TIME_PERIOD,PUBLICATION_MONTH,ORDER,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,PO_LL,PO_UL,OD_LL,OD_UL,OBSERVED,EXPECTED,ELECTIVE_DEPTH,NONELECTIVE_DEPTH,PALLIATIVE_DEATHS,PALLIATIVE_CODE
JAN18_DEC18,MAY_19,1,REM,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,0.994,2,0.9349,1.0682,0.8926,1.1203,2155,2170,3.3467,3.8323,51,2.7
JAN18_DEC18,MAY_19,1,RCF,AIREDALE NHS FOUNDATION TRUST,0.9028,2,0.9088,1.0974,0.8859,1.1287,980,1085,4.2249,4.1774,27,1.5
JAN18_DEC18,MAY_19,1,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,0.9971,2,0.9271,1.0769,0.8908,1.1226,1710,1715,3.6259,5.0279,44,2.6
JAN18_DEC18,MAY_19,1,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.9537,2,0.9461,1.056,0.8949,1.1175,3035,3185,5.3349,5.4347,38,2.1
JAN18_DEC18,MAY_19,1,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1.0086,2,0.9248,1.0794,0.8903,1.1233,1625,1610,4.054,4.624,24,1.5
JAN18_DEC18,MAY_19,1,R1H,BARTS HEALTH NHS TRUST,0.8861,3,0.9534,1.0482,0.8961,1.1159,3785,4275,5.9312,5.3171,39,1.6
JAN18_DEC18,MAY_19,1,RDD,BASILDON AND THURROCK UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9966,2,0.9353,1.0678,0.8927,1.1202,2185,2190,5.4634,4.123,29,1.7
JAN18_DEC18,MAY_19,1,RC1,BEDFORD HOSPITAL NHS TRUST,1.0866,2,0.9123,1.0935,0.8869,1.1275,1275,1175,4.7114,4.8707,26,1.4
JAN18_DEC18,MAY_19,1,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1.1626,1,0.9339,1.0694,0.8924,1.1206,2435,2095,5.8941,5.6519,27,2
JAN18_DEC18,MAY_19,1,RMC,BOLTON NHS FOUNDATION TRUST,1.1917,1,0.923,1.0813,0.8898,1.1238,1830,1535,4.7513,4.4496,27,1.3
