INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,0.8886,2,31155,910,1025,0.9062,1.1004,0.8835,1.1318
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,0.8852,3,57945,1645,1855,0.9298,1.0738,0.8897,1.124
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",0.9508,2,82420,2525,2660,0.9411,1.0614,0.8921,1.1209
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1.0229,2,45495,1485,1455,0.9209,1.0837,0.8876,1.1267
I00699,R1H,BARTS HEALTH NHS TRUST,0.988,2,119460,3145,3185,0.9461,1.056,0.8931,1.1197
I00699,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,1.0643,2,106190,2825,2655,0.9411,1.0614,0.8921,1.1209
I00699,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1.003,2,53545,2005,2000,0.9323,1.071,0.8903,1.1232
I00699,RMC,BOLTON NHS FOUNDATION TRUST,1.0973,2,53990,1480,1350,0.918,1.087,0.8868,1.1276
I00699,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1.1072,2,79525,1655,1495,0.9219,1.0826,0.8878,1.1264
I00699,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,0.9437,2,61130,1555,1650,0.9256,1.0784,0.8887,1.1252
I00699,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,0.9995,2,60360,2155,2160,0.9348,1.0683,0.8908,1.1226
I00699,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,0.9789,2,60895,2125,2170,0.935,1.0681,0.8909,1.1225
I00699,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,0.7191,3,92225,1590,2210,0.9355,1.0675,0.891,1.1224
I00699,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,0.9663,2,52995,1750,1810,0.929,1.0748,0.8895,1.1242
I00699,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,0.9847,2,40430,1280,1300,0.9165,1.0887,0.8864,1.1282
