INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I00732,ENG,ENGLAND,283294,8163715,3.5
I00732,RCF,AIREDALE NHS FOUNDATION TRUST,1085,30110,3.6
I00732,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1590,52050,3.1
I00732,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2585,107485,2.4
I00732,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1625,47445,3.4
I00732,R1H,BARTS HEALTH NHS TRUST,3315,106405,3.1
I00732,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,2950,112600,2.6
I00732,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2295,55285,4.2
I00732,RMC,BOLTON NHS FOUNDATION TRUST,1650,52765,3.1
I00732,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1810,80565,2.2
I00732,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1600,69320,2.3
I00732,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2525,57835,4.4
I00732,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2290,52560,4.4
I00732,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1715,89355,1.9
I00732,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1825,55715,3.3
I00732,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1500,42720,3.5
I00732,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3255,75460,4.3
I00732,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1305,28170,4.6
I00732,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1515,49400,3.1
I00732,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2590,66265,3.9
I00732,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1280,29590,4.3
I00732,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1960,46600,4.2
I00732,RJN,EAST CHESHIRE NHS TRUST,865,14810,5.8
I00732,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3585,84655,4.2
I00732,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2265,43605,5.2
I00732,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,4370,99360,4.4
I00732,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2600,57280,4.5
I00732,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1750,33540,5.2
I00732,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3525,79940,4.4
I00732,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1515,33295,4.6
I00732,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1170,30530,3.8
I00732,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2815,89140,3.2
I00732,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1770,57500,3.1
I00732,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1250,61355,2
I00732,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2320,70905,3.3
I00732,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,1055,26950,3.9
