INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02039,ENG,ENGLAND,158020,9192894,1.7
I02039,RCF,AIREDALE NHS FOUNDATION TRUST,785,32270,2.4
I02039,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,550,58460,0.9
I02039,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",885,115830,0.8
I02039,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1035,50810,2
I02039,R1H,BARTS HEALTH NHS TRUST,1945,125790,1.5
I02039,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,1260,123400,1
I02039,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1055,60880,1.7
I02039,RMC,BOLTON NHS FOUNDATION TRUST,1145,56870,2
I02039,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,720,85965,0.8
I02039,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1075,73590,1.5
I02039,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,985,62610,1.6
I02039,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1770,65935,2.7
I02039,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1415,97510,1.5
I02039,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,755,59450,1.3
I02039,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1050,45570,2.3
I02039,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,1465,80020,1.8
I02039,RJ6,CROYDON HEALTH SERVICES NHS TRUST,820,31185,2.6
I02039,RN7,DARTFORD AND GRAVESHAM NHS TRUST,745,56175,1.3
I02039,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,1095,74710,1.5
I02039,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,645,31895,2
I02039,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1085,52880,2.1
I02039,RJN,EAST CHESHIRE NHS TRUST,580,16085,3.6
I02039,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,1415,95755,1.5
I02039,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,570,48820,1.2
I02039,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,2495,110390,2.3
I02039,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,1595,62940,2.5
I02039,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1175,40850,2.9
I02039,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,2635,92725,2.8
I02039,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,805,36325,2.2
I02039,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,235,33395,0.7
I02039,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,1390,101135,1.4
I02039,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,830,62775,1.3
I02039,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1115,100865,1.1
I02039,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,1575,77305,2
I02039,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,650,29480,2.2
I02039,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,435,47585,0.9
I02039,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,1295,88595,1.5
I02039,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,1960,108945,1.8
I02039,R1F,ISLE OF WIGHT NHS TRUST,505,20885,2.4
I02039,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,890,34350,2.6
I02039,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,735,49505,1.5
I02039,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,1765,97375,1.8
I02039,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1060,54160,2
I02039,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,1420,87790,1.6
I02039,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,2880,100910,2.9
I02039,RJ2,LEWISHAM AND GREENWICH NHS TRUST,1105,84960,1.3
I02039,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1635,97520,1.7
I02039,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,1470,105940,1.4
I02039,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,1215,99765,1.2
I02039,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,2430,188940,1.3
I02039,RPA,MEDWAY NHS FOUNDATION TRUST,825,52720,1.6
I02039,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,1710,122245,1.4
I02039,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,2630,179960,1.5
I02039,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,750,55470,1.4
I02039,RXF,MID YORKSHIRE TEACHING NHS TRUST,1480,82690,1.8
I02039,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,640,38535,1.7
I02039,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1645,76150,2.2
I02039,RVJ,NORTH BRISTOL NHS TRUST,1345,95540,1.4
I02039,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,1565,46105,3.4
I02039,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,620,30160,2.1
I02039,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1040,59070,1.8
I02039,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,1435,80405,1.8
I02039,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,845,77145,1.1
I02039,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,2625,125570,2.1
I02039,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,700,67585,1
