INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01965,ENG,ENGLAND,5.9867,19
I01965,RCF,AIREDALE NHS FOUNDATION TRUST,4.7663,19
I01965,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,5.0139,12
I01965,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",5.9549,19
I01965,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7.2264,19
I01965,R1H,BARTS HEALTH NHS TRUST,8.5446,19
I01965,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,6.2614,19
I01965,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,7.2327,19
I01965,RMC,BOLTON NHS FOUNDATION TRUST,5.554,19
I01965,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,4.8957,15
I01965,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,6.6022,19
I01965,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,5.7098,19
I01965,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4.1315,19
I01965,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,5.024,19
I01965,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,6.0715,19
I01965,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5.2669,19
I01965,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,6.1221,19
I01965,RJ6,CROYDON HEALTH SERVICES NHS TRUST,3.8413,19
I01965,RN7,DARTFORD AND GRAVESHAM NHS TRUST,5.4397,19
I01965,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,4.1552,19
I01965,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,5.3205,19
I01965,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4.2299,19
I01965,RJN,EAST CHESHIRE NHS TRUST,5.6287,12
I01965,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,5.9661,19
I01965,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,3.8784,19
