INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,MEAN,MAXIMUM
I01966,ENG,ENGLAND,5.9255,19
I01966,RCF,AIREDALE NHS FOUNDATION TRUST,4.7362,19
I01966,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,4.3629,12
I01966,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",4.8181,19
I01966,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7.5649,19
I01966,R1H,BARTS HEALTH NHS TRUST,7.8464,19
I01966,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,6.1231,19
I01966,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,6.6299,19
I01966,RMC,BOLTON NHS FOUNDATION TRUST,5.1595,19
I01966,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,3.7778,15
I01966,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,4.6807,19
I01966,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,6.5427,19
I01966,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.974,19
I01966,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,5.6101,19
I01966,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,3.9233,19
I01966,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,5.2963,19
I01966,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,4.2509,19
I01966,RJ6,CROYDON HEALTH SERVICES NHS TRUST,5.9191,19
I01966,RN7,DARTFORD AND GRAVESHAM NHS TRUST,5.2053,19
I01966,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,4.8066,19
I01966,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,5.881,19
I01966,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,5.7512,19
I01966,RJN,EAST CHESHIRE NHS TRUST,6.5506,12
I01966,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,6.5732,19
I01966,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,4.5857,19
I01966,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,6.4603,19
I01966,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,6.8619,19
I01966,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,7.6277,19
I01966,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,6.3201,19
I01966,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,5.0454,13
I01966,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,5.4086,19
I01966,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,5.3538,19
I01966,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,4.6132,13
I01966,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,5.3487,19
I01966,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,5.9405,19
I01966,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4.4291,12
I01966,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,6.3738,19
I01966,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,5.9386,19
I01966,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,7.3805,19
I01966,R1F,ISLE OF WIGHT NHS TRUST,6.0782,13
I01966,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6.8946,19
I01966,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,6.6227,19
I01966,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,6.9635,19
I01966,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,4.3215,19
I01966,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,7.4641,19
I01966,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,6.2695,19
I01966,RJ2,LEWISHAM AND GREENWICH NHS TRUST,4.7892,19
I01966,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,7.5803,19
I01966,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,5.3071,19
I01966,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,4.9998,19
I01966,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,6.8552,19
I01966,RPA,MEDWAY NHS FOUNDATION TRUST,6.2479,19
I01966,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,5.835,19
I01966,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,5.4999,19
I01966,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,6.2125,19
I01966,RXF,MID YORKSHIRE TEACHING NHS TRUST,6.7851,19
I01966,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,5.2834,19
I01966,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.6986,19
I01966,RVJ,NORTH BRISTOL NHS TRUST,5.1765,19
I01966,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,5.7832,13
I01966,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,6.3033,19
I01966,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,6.6606,19
I01966,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,5.5413,19
I01966,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,5.066,19
I01966,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,7.0532,19
I01966,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,4.7439,19
I01966,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,6.2739,19
I01966,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,7.359,19
I01966,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,5.2889,19
I01966,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,5.5035,19
I01966,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,4.5625,19
I01966,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,5.9038,12
I01966,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,6.4076,19
I01966,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,7.0451,19
I01966,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,**,**
I01966,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,5.7713,19
I01966,RNZ,SALISBURY NHS FOUNDATION TRUST,5.0096,19
I01966,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,5.9691,19
I01966,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,4.9743,19
I01966,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,6.0885,19
I01966,RH5,SOMERSET NHS FOUNDATION TRUST,5.6209,19
I01966,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,5.8027,13
I01966,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,7.0892,19
I01966,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,5.4776,19
I01966,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6.2289,19
I01966,RWJ,STOCKPORT NHS FOUNDATION TRUST,6.8282,19
I01966,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,7.5473,19
I01966,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,6.5444,19
I01966,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,5.497,19
I01966,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,3.9184,19
I01966,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,6.0941,19
I01966,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,5.1912,19
I01966,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",4.343,13
I01966,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,6.8174,19
I01966,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,5.1784,19
I01966,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,5.649,19
I01966,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,6.3752,12
I01966,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,7.6688,19
I01966,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,6.849,13
I01966,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,9.182,19
I01966,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,6.3726,19
I01966,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,4.967,19
I01966,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,5.0971,19
I01966,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,6.2243,19
I01966,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,5.7539,19
I01966,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,5.6091,19
I01966,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,5.8861,19
I01966,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,6.4456,19
I01966,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,4.5953,19
I01966,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,6.4128,19
I01966,RBK,WALSALL HEALTHCARE NHS TRUST,5.1193,19
I01966,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,8.3853,19
I01966,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,6.215,19
I01966,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,5.8541,19
I01966,RKE,WHITTINGTON HEALTH NHS TRUST,6.1305,19
I01966,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,6.998,19
I01966,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,6.8839,19
I01966,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",7.046,19
I01966,RLQ,WYE VALLEY NHS TRUST,5.7969,19
I01966,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,5.9813,19
