INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,IN_HOSPITAL_NUMERATOR,OUT_HOSPITAL_NUMERATOR,IN_HOSPITAL_RATE,OUT_HOSPITAL_RATE
I00733,ENG,ENGLAND,289707,201695,88012,70,30
I00733,RCF,AIREDALE NHS FOUNDATION TRUST,1095,690,405,63,37
I00733,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1635,1140,495,70,30
I00733,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2645,1920,725,73,27
I00733,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1640,1160,485,71,30
I00733,R1H,BARTS HEALTH NHS TRUST,3425,2705,720,79,21
I00733,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,3015,1945,1070,65,35
I00733,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2355,1525,830,65,35
I00733,RMC,BOLTON NHS FOUNDATION TRUST,1705,1240,465,73,27
I00733,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1835,1265,570,69,31
I00733,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1615,1115,500,69,31
I00733,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2545,1695,850,67,33
I00733,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2350,1560,790,66,34
I00733,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1735,1305,430,75,25
I00733,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1840,1225,615,67,33
I00733,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1505,1055,450,70,30
I00733,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3270,2130,1140,65,35
I00733,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1310,955,355,73,27
I00733,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1540,1090,450,71,29
I00733,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2630,1825,805,69,31
I00733,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1295,855,440,66,34
I00733,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1980,1280,700,65,35
I00733,RJN,EAST CHESHIRE NHS TRUST,870,570,295,66,34
I00733,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3640,2430,1210,67,33
I00733,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2290,1425,865,62,38
I00733,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,4475,3050,1430,68,32
I00733,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2635,1820,815,69,31
I00733,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1780,1335,445,75,25
I00733,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3585,2525,1055,70,29
I00733,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1555,1160,400,75,26
I00733,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1205,840,365,70,30
I00733,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2885,1900,990,66,34
I00733,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1850,1255,595,68,32
I00733,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1625,1170,455,72,28
I00733,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2335,1650,685,71,29
I00733,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,1065,710,350,67,33
I00733,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,600,450,150,75,25
I00733,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,3520,2460,1065,70,30
I00733,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2100,1595,505,76,24
I00733,R1F,ISLE OF WIGHT NHS TRUST,925,590,335,64,36
I00733,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1675,1220,455,73,27
I00733,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1775,1280,495,72,28
I00733,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,3005,2260,745,75,25
I00733,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1130,765,365,68,32
I00733,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2490,1665,825,67,33
I00733,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,4055,2865,1190,71,29
I00733,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2440,1795,645,74,26
I00733,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3860,2955,910,77,24
I00733,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,2695,2015,680,75,25
I00733,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2465,1465,1000,59,41
I00733,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,4280,3135,1150,73,27
I00733,RPA,MEDWAY NHS FOUNDATION TRUST,1905,1380,525,72,28
I00733,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,3785,2670,1115,71,29
I00733,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,6225,4320,1905,69,31
I00733,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1590,1005,585,63,37
I00733,RXF,MID YORKSHIRE TEACHING NHS TRUST,2945,1985,965,67,33
I00733,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1370,885,490,65,36
I00733,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3655,2650,1005,73,27
I00733,RVJ,NORTH BRISTOL NHS TRUST,2485,1915,565,77,23
I00733,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,2140,1500,645,70,30
I00733,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,1260,1000,265,79,21
I00733,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,1940,1290,650,66,34
I00733,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,2850,2000,855,70,30
I00733,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,2055,1430,630,70,31
I00733,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,4550,3085,1460,68,32
I00733,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,2195,1385,810,63,37
I00733,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,3185,2415,770,76,24
I00733,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,4405,3450,955,78,22
I00733,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3100,2075,1025,67,33
I00733,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,3215,2230,985,69,31
I00733,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,2075,1405,670,68,32
I00733,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,2360,1620,740,69,31
I00733,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,3460,2255,1205,65,35
I00733,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,2490,1710,780,69,31
I00733,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,**,**,**,**,**
I00733,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,1955,1290,665,66,34
I00733,RNZ,SALISBURY NHS FOUNDATION TRUST,980,715,265,73,27
I00733,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,2100,1480,620,70,30
I00733,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3600,2670,930,74,26
I00733,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,2250,1560,690,69,31
I00733,RH5,SOMERSET NHS FOUNDATION TRUST,3260,2365,895,73,27
I00733,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,2755,1950,805,71,29
I00733,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,3250,2300,950,71,29
I00733,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,1425,960,465,67,33
I00733,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1740,1375,365,79,21
I00733,RWJ,STOCKPORT NHS FOUNDATION TRUST,1760,1245,515,71,29
I00733,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,2070,1425,645,69,31
I00733,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,1415,985,430,70,30
I00733,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,2420,1580,840,65,35
I00733,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,920,685,240,74,26
I00733,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,2780,1970,810,71,29
I00733,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,1480,955,530,65,36
I00733,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",1640,1110,530,68,32
I00733,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,1515,965,550,64,36
I00733,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,2760,1905,855,69,31
I00733,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,2730,1665,1060,61,39
I00733,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,1815,1255,565,69,31
I00733,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,3460,2135,1325,62,38
I00733,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,1140,850,290,75,25
I00733,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,2895,1990,905,69,31
I00733,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,6900,4750,2150,69,31
I00733,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,2460,1760,700,72,28
I00733,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,2840,1970,870,69,31
I00733,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,3680,2760,920,75,25
I00733,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,4540,3285,1255,72,28
I00733,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4105,2730,1375,67,33
I00733,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,2015,1275,735,63,36
I00733,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,4280,3000,1280,70,30
I00733,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,2460,1685,775,68,32
I00733,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,5290,3685,1610,70,30
I00733,RBK,WALSALL HEALTHCARE NHS TRUST,1595,1085,510,68,32
I00733,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,1430,1025,405,72,28
I00733,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,2145,1510,635,70,30
I00733,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,1515,960,550,63,36
I00733,RKE,WHITTINGTON HEALTH NHS TRUST,610,455,150,75,25
I00733,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,2085,1610,480,77,23
I00733,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,2980,1900,1080,64,36
I00733,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",1730,1160,570,67,33
I00733,RLQ,WYE VALLEY NHS TRUST,1350,890,460,66,34
I00733,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,3215,2225,990,69,31
