INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00721,ENG,ENGLAND,289707,5000,123487,124413,2,43,43
I00721,RCF,AIREDALE NHS FOUNDATION TRUST,1095,0,275,275,0,25,25
I00721,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,1635,40,875,875,2,54,54
I00721,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",2645,0,730,730,0,28,28
I00721,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,1640,0,690,690,0,42,42
I00721,R1H,BARTS HEALTH NHS TRUST,3425,330,1315,1320,10,38,39
I00721,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,3015,0,1190,1190,0,39,39
I00721,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,2355,0,1110,1110,0,47,47
I00721,RMC,BOLTON NHS FOUNDATION TRUST,1705,*,645,650,*,38,38
I00721,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,1835,0,655,655,0,36,36
I00721,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,1615,*,945,945,*,59,59
I00721,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,2545,0,1085,1085,0,43,43
I00721,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,2350,*,1420,1420,*,60,60
I00721,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,1735,*,905,905,*,52,52
I00721,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,1840,0,475,475,0,26,26
I00721,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,1505,0,635,635,0,42,42
I00721,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3270,0,1880,1880,0,57,57
I00721,RJ6,CROYDON HEALTH SERVICES NHS TRUST,1310,0,755,755,0,58,58
I00721,RN7,DARTFORD AND GRAVESHAM NHS TRUST,1540,0,920,920,0,60,60
I00721,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,2630,0,1365,1365,0,52,52
I00721,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,1295,0,660,660,0,51,51
I00721,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,1980,0,875,875,0,44,44
I00721,RJN,EAST CHESHIRE NHS TRUST,870,0,240,240,0,28,28
I00721,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3640,0,1390,1390,0,38,38
I00721,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,2290,0,455,455,0,20,20
I00721,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,4475,45,1770,1820,1,40,41
I00721,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,2635,0,1150,1150,0,44,44
I00721,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,1780,0,930,930,0,52,52
I00721,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,3585,*,1720,1720,*,48,48
I00721,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,1555,170,690,690,11,44,44
I00721,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,1205,0,565,565,0,47,47
I00721,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,2885,*,1250,1250,*,43,43
I00721,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,1850,0,1025,1025,0,55,55
I00721,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,1625,0,815,815,0,50,50
I00721,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,2335,520,1515,1540,22,65,66
I00721,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,1065,0,345,345,0,32,32
I00721,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,600,0,300,300,0,50,50
I00721,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,3520,30,1225,1240,1,35,35
I00721,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,2100,0,1350,1350,0,64,64
I00721,R1F,ISLE OF WIGHT NHS TRUST,925,0,545,545,0,59,59
I00721,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,1675,0,795,795,0,47,47
I00721,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,1775,0,860,860,0,48,48
I00721,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,3005,0,1480,1480,0,49,49
I00721,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,1130,0,640,640,0,57,57
I00721,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,2490,0,1485,1485,0,60,60
I00721,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,4055,0,1375,1375,0,34,34
I00721,RJ2,LEWISHAM AND GREENWICH NHS TRUST,2440,0,795,795,0,33,33
I00721,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3860,225,2300,2330,6,60,60
I00721,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,2695,115,955,1065,4,35,40
I00721,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,2465,0,1210,1210,0,49,49
I00721,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,4280,0,2215,2215,0,52,52
I00721,RPA,MEDWAY NHS FOUNDATION TRUST,1905,*,950,955,*,50,50
I00721,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,3785,0,1925,1925,0,51,51
I00721,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,6225,295,1840,1890,5,30,30
I00721,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,1590,0,515,515,0,32,32
I00721,RXF,MID YORKSHIRE TEACHING NHS TRUST,2945,0,1120,1120,0,38,38
I00721,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,1370,0,635,635,0,46,46
