INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,DENOMINATOR,TREATMENT_NUMERATOR,DIAGNOSIS_NUMERATOR,COMBINED_NUMERATOR,TREATMENT_RATE,DIAGNOSIS_RATE,COMBINED_RATE
I00720,ENG,ENGLAND,9192894,7001,190051,191573,0.1,2.1,2.1
I00720,RCF,AIREDALE NHS FOUNDATION TRUST,32270,0,385,385,0,1.2,1.2
I00720,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,58460,55,1305,1310,0.1,2.2,2.2
I00720,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",115830,0,1120,1120,0,1,1
I00720,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,50810,0,1265,1265,0,2.5,2.5
I00720,R1H,BARTS HEALTH NHS TRUST,125790,380,2120,2125,0.3,1.7,1.7
I00720,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,123400,0,1755,1755,0,1.4,1.4
I00720,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,60880,0,1535,1535,0,2.5,2.5
I00720,RMC,BOLTON NHS FOUNDATION TRUST,56870,*,980,985,*,1.7,1.7
I00720,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,85965,*,965,965,*,1.1,1.1
I00720,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,73590,*,1525,1525,*,2.1,2.1
I00720,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,62610,0,1540,1540,0,2.5,2.5
I00720,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,65935,*,2395,2395,*,3.6,3.6
I00720,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,97510,10,1445,1450,0,1.5,1.5
I00720,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,59450,0,690,690,0,1.2,1.2
I00720,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,45570,0,880,880,0,1.9,1.9
I00720,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,80020,0,2510,2510,0,3.1,3.1
I00720,RJ6,CROYDON HEALTH SERVICES NHS TRUST,31185,0,1245,1245,0,4,4
I00720,RN7,DARTFORD AND GRAVESHAM NHS TRUST,56175,0,1275,1275,0,2.3,2.3
I00720,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,74710,0,1735,1735,0,2.3,2.3
I00720,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,31895,0,860,860,0,2.7,2.7
I00720,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,52880,*,1270,1275,*,2.4,2.4
I00720,RJN,EAST CHESHIRE NHS TRUST,16085,0,360,360,0,2.2,2.2
I00720,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,95755,0,1955,1955,0,2,2
I00720,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,48820,0,680,680,0,1.4,1.4
I00720,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,110390,60,2795,2855,0.1,2.5,2.6
I00720,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,62940,0,1595,1595,0,2.5,2.5
I00720,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,40850,*,1335,1340,*,3.3,3.3
I00720,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,92725,*,2680,2680,*,2.9,2.9
I00720,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,36325,210,920,930,0.6,2.5,2.6
I00720,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,33395,0,765,765,0,2.3,2.3
I00720,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,101135,*,1770,1770,*,1.8,1.8
I00720,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,62775,0,1505,1505,0,2.4,2.4
I00720,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,100865,*,1765,1765,*,1.7,1.7
I00720,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,77305,805,2850,2905,1,3.7,3.8
I00720,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,29480,0,450,450,0,1.5,1.5
I00720,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,47585,0,480,480,0,1,1
I00720,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,88595,70,1875,1915,0.1,2.1,2.2
I00720,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,108945,*,2575,2575,*,2.4,2.4
I00720,R1F,ISLE OF WIGHT NHS TRUST,20885,0,635,635,0,3,3
I00720,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,34350,0,1205,1205,0,3.5,3.5
I00720,RNQ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,49505,0,1260,1260,0,2.5,2.5
I00720,RJZ,KING'S COLLEGE HOSPITAL NHS FOUNDATION TRUST,97375,*,2465,2465,*,2.5,2.5
I00720,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,54160,0,845,845,0,1.6,1.6
I00720,RXN,LANCASHIRE TEACHING HOSPITALS NHS FOUNDATION TRUST,87790,0,2355,2355,0,2.7,2.7
I00720,RR8,LEEDS TEACHING HOSPITALS NHS TRUST,100910,0,2080,2080,0,2.1,2.1
I00720,RJ2,LEWISHAM AND GREENWICH NHS TRUST,84960,0,1310,1310,0,1.5,1.5
I00720,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,97520,300,3455,3520,0.3,3.5,3.6
I00720,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,105940,130,1760,1885,0.1,1.7,1.8
I00720,RWF,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,99765,0,1640,1640,0,1.6,1.6
I00720,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,188940,*,3975,3975,*,2.1,2.1
I00720,RPA,MEDWAY NHS FOUNDATION TRUST,52720,*,1260,1265,*,2.4,2.4
I00720,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,122245,0,2865,2865,0,2.3,2.3
I00720,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,179960,600,2840,3025,0.3,1.6,1.7
I00720,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,55470,0,920,920,0,1.7,1.7
I00720,RXF,MID YORKSHIRE TEACHING NHS TRUST,82690,0,1675,1675,0,2,2
I00720,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,38535,0,985,985,0,2.6,2.6
I00720,RM1,NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,76150,*,2830,2830,*,3.7,3.7
I00720,RVJ,NORTH BRISTOL NHS TRUST,95540,0,1365,1365,0,1.4,1.4
I00720,RNN,NORTH CUMBRIA INTEGRATED CARE NHS FOUNDATION TRUST,46105,165,1340,1345,0.4,2.9,2.9
I00720,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,30160,0,955,955,0,3.2,3.2
I00720,RVW,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,59070,0,1150,1150,0,1.9,1.9
I00720,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,80405,*,2195,2200,*,2.7,2.7
I00720,RNS,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,77145,0,1575,1575,0,2,2
I00720,RM3,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,125570,0,3680,3680,0,2.9,2.9
I00720,RJL,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,67585,0,850,850,0,1.3,1.3
I00720,RTF,NORTHUMBRIA HEALTHCARE NHS FOUNDATION TRUST,104375,935,2030,2135,0.9,1.9,2
I00720,RX1,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,141335,375,2475,2485,0.3,1.8,1.8
I00720,RTH,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,128400,15,2550,2550,0,2,2
I00720,RHU,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,93365,0,1710,1710,0,1.8,1.8
I00720,RHW,ROYAL BERKSHIRE NHS FOUNDATION TRUST,63685,*,2075,2075,*,3.3,3.3
I00720,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,65160,*,1585,1585,*,2.4,2.4
I00720,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,98380,*,2380,2385,*,2.4,2.4
I00720,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,104005,0,1445,1445,0,1.4,1.4
I00720,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,**,**,**,**,**,**,**
I00720,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,61905,0,1265,1265,0,2,2
I00720,RNZ,SALISBURY NHS FOUNDATION TRUST,32870,*,625,625,*,1.9,1.9
I00720,RXK,SANDWELL AND WEST BIRMINGHAM HOSPITALS NHS TRUST,60670,205,1020,1100,0.3,1.7,1.8
I00720,RHQ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,123555,455,2140,2235,0.4,1.7,1.8
I00720,RK5,SHERWOOD FOREST HOSPITALS NHS FOUNDATION TRUST,63395,0,600,600,0,0.9,0.9
I00720,RH5,SOMERSET NHS FOUNDATION TRUST,82205,0,2150,2150,0,2.6,2.6
I00720,RTR,SOUTH TEES HOSPITALS NHS FOUNDATION TRUST,98545,0,1735,1735,0,1.8,1.8
I00720,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,80960,0,1230,1230,0,1.5,1.5
I00720,RJC,SOUTH WARWICKSHIRE UNIVERSITY NHS FOUNDATION TRUST,45025,*,605,605,*,1.3,1.3
I00720,RJ7,ST GEORGE'S UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,66660,0,1550,1550,0,2.3,2.3
I00720,RWJ,STOCKPORT NHS FOUNDATION TRUST,54220,0,945,945,0,1.7,1.7
I00720,RTP,SURREY AND SUSSEX HEALTHCARE NHS TRUST,60245,0,1620,1620,0,2.7,2.7
I00720,RMP,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,42360,0,545,545,0,1.3,1.3
I00720,RNA,THE DUDLEY GROUP NHS FOUNDATION TRUST,84975,0,1795,1795,0,2.1,2.1
I00720,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,43130,0,845,845,0,2,2
I00720,RTD,THE NEWCASTLE UPON TYNE HOSPITALS NHS FOUNDATION TRUST,109070,0,2225,2225,0,2,2
I00720,RQW,THE PRINCESS ALEXANDRA HOSPITAL NHS TRUST,41315,0,915,915,0,2.2,2.2
I00720,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",45975,25,1055,1055,0.1,2.3,2.3
I00720,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,50990,*,1020,1025,*,2,2
I00720,RL4,THE ROYAL WOLVERHAMPTON NHS TRUST,107285,0,1825,1825,0,1.7,1.7
I00720,RXW,THE SHREWSBURY AND TELFORD HOSPITAL NHS TRUST,72545,0,1245,1245,0,1.7,1.7
I00720,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,41945,*,1410,1410,*,3.4,3.4
I00720,RWD,UNITED LINCOLNSHIRE HOSPITALS NHS TRUST,80195,0,1700,1700,0,2.1,2.1
I00720,RRV,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,64250,50,1870,1920,0.1,2.9,3
I00720,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,95195,15,1760,1765,0,1.8,1.9
I00720,RRK,UNIVERSITY HOSPITALS BIRMINGHAM NHS FOUNDATION TRUST,231765,0,4715,4715,0,2,2
I00720,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,108595,*,1830,1830,*,1.7,1.7
I00720,RKB,UNIVERSITY HOSPITALS COVENTRY AND WARWICKSHIRE NHS TRUST,98065,0,1745,1745,0,1.8,1.8
I00720,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,97940,640,1920,1965,0.7,2,2
I00720,RTG,UNIVERSITY HOSPITALS OF DERBY AND BURTON NHS FOUNDATION TRUST,135185,955,2100,2400,0.7,1.6,1.8
I00720,RWE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,165065,*,2940,2940,*,1.8,1.8
I00720,RTX,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS FOUNDATION TRUST,56875,0,1255,1255,0,2.2,2.2
I00720,RJE,UNIVERSITY HOSPITALS OF NORTH MIDLANDS NHS TRUST,148470,230,3030,3105,0.2,2,2.1
I00720,RK9,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,77185,*,1155,1155,*,1.5,1.5
I00720,RYR,UNIVERSITY HOSPITALS SUSSEX NHS FOUNDATION TRUST,151625,0,3695,3695,0,2.4,2.4
I00720,RBK,WALSALL HEALTHCARE NHS TRUST,71390,10,735,735,0,1,1
I00720,RWW,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,35915,0,1040,1040,0,2.9,2.9
I00720,RWG,WEST HERTFORDSHIRE TEACHING HOSPITALS NHS TRUST,61950,0,1695,1695,0,2.7,2.7
I00720,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,41560,0,985,985,0,2.4,2.4
I00720,RKE,WHITTINGTON HEALTH NHS TRUST,21785,*,580,580,*,2.7,2.7
I00720,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,63475,85,1965,1970,0.1,3.1,3.1
I00720,RWP,WORCESTERSHIRE ACUTE HOSPITALS NHS TRUST,74580,0,1045,1045,0,1.4,1.4
I00720,RRF,"WRIGHTINGTON, WIGAN AND LEIGH NHS FOUNDATION TRUST",46895,0,1325,1325,0,2.8,2.8
I00720,RLQ,WYE VALLEY NHS TRUST,35355,0,525,525,0,1.5,1.5
I00720,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,94830,0,1190,1190,0,1.3,1.3
