INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I01964,ENG,ENGLAND,1229890,9192894,13.4
I01964,RCF,AIREDALE NHS FOUNDATION TRUST,4520,32270,14
I01964,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,12225,58460,20.9
I01964,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",36735,115830,31.7
I01964,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7120,50810,14
I01964,R1H,BARTS HEALTH NHS TRUST,9150,125790,7.3
I01964,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,16975,123400,13.8
I01964,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8680,60880,14.3
I01964,RMC,BOLTON NHS FOUNDATION TRUST,4475,56870,7.9
I01964,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,9485,85965,11
I01964,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,11165,73590,15.2
I01964,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,4910,62610,7.8
I01964,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,4995,65935,7.6
I01964,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,11280,97510,11.6
I01964,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,25050,59450,42.1
I01964,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,3895,45570,8.5
I01964,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,13490,80020,16.9
I01964,RJ6,CROYDON HEALTH SERVICES NHS TRUST,2305,31185,7.4
I01964,RN7,DARTFORD AND GRAVESHAM NHS TRUST,6405,56175,11.4
I01964,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,8530,74710,11.4
I01964,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,4975,31895,15.6
I01964,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,4095,52880,7.7
I01964,RJN,EAST CHESHIRE NHS TRUST,1105,16085,6.9
I01964,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,3485,95755,3.6
I01964,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,14075,48820,28.8
I01964,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,15690,110390,14.2
I01964,RXC,EAST SUSSEX HEALTHCARE NHS TRUST,8835,62940,14
I01964,RVR,EPSOM AND ST HELIER UNIVERSITY HOSPITALS NHS TRUST,2440,40850,6
I01964,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,5955,92725,6.4
I01964,RR7,GATESHEAD HEALTH NHS FOUNDATION TRUST,3720,36325,10.2
I01964,RLT,GEORGE ELIOT HOSPITAL NHS TRUST,5930,33395,17.8
I01964,RTE,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,16215,101135,16
I01964,RN3,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,8285,62775,13.2
I01964,RJ1,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,11115,100865,11
I01964,RN5,HAMPSHIRE HOSPITALS NHS FOUNDATION TRUST,11130,77305,14.4
I01964,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,7200,29480,24.4
I01964,RQX,HOMERTON HEALTHCARE NHS FOUNDATION TRUST,4785,47585,10.1
I01964,RWA,HULL UNIVERSITY TEACHING HOSPITALS NHS TRUST,6965,88595,7.9
I01964,RYJ,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,9115,108945,8.4
