INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,NUMERATOR,DENOMINATOR,RATE
I02038,ENG,ENGLAND,97745,9192894,1.1
I02038,RCF,AIREDALE NHS FOUNDATION TRUST,0,32270,0
I02038,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,65,58460,0.1
I02038,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",625,115830,0.5
I02038,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,0,50810,0
I02038,R1H,BARTS HEALTH NHS TRUST,255,125790,0.2
I02038,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,0,123400,0
I02038,RXL,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,1115,60880,1.8
I02038,RMC,BOLTON NHS FOUNDATION TRUST,0,56870,0
I02038,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,510,85965,0.6
I02038,RXQ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,925,73590,1.3
I02038,RWY,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,395,62610,0.6
I02038,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,200,65935,0.3
I02038,RQM,CHELSEA AND WESTMINSTER HOSPITAL NHS FOUNDATION TRUST,30,97510,0
I02038,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,0,59450,0
I02038,RJR,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,*,45570,*
I02038,RXP,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3910,80020,4.9
I02038,RJ6,CROYDON HEALTH SERVICES NHS TRUST,0,31185,0
I02038,RN7,DARTFORD AND GRAVESHAM NHS TRUST,*,56175,*
I02038,RP5,DONCASTER AND BASSETLAW TEACHING HOSPITALS NHS FOUNDATION TRUST,655,74710,0.9
I02038,RBD,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,0,31895,0
I02038,RWH,EAST AND NORTH HERTFORDSHIRE NHS TRUST,0,52880,0
I02038,RJN,EAST CHESHIRE NHS TRUST,0,16085,0
I02038,RVV,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,915,95755,1
I02038,RXR,EAST LANCASHIRE HOSPITALS NHS TRUST,1605,48820,3.3
