INDICATOR_CODE,PROVIDER_CODE,PROVIDER_NAME,SITE_CODE,SITE_NAME,SHMI_VALUE,SHMI_BANDING,SPELLS,OBSERVED,EXPECTED,PO_LL,PO_UL,OD_LL,OD_UL,SITE_TYPE,NO_PROVIDERS_AT_SITE,SITE_OWNER,SITE_POSTCODE
I00699,RCF,AIREDALE NHS FOUNDATION TRUST,RCF22,AIREDALE GENERAL HOSPITAL,0.9745,2,32270,1095,1125,0.9104,1.0956,0.8655,1.1554,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,BD20 6TD
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK02,ASHFORD HOSPITAL,*,*,2135,*,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,TW15 3AA
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK01,ST PETER'S HOSPITAL,0.9689,2,53465,1445,1490,0.9218,1.0827,0.868,1.1521,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,KT16 0PZ
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,RTK03,WOKING COMMUNITY HOSPITAL,*,*,50,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,GU22 7HS
I00699,RTK,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,.,NOT PROVIDED,1.1924,2,2810,195,160,0.7746,1.2675,0.8163,1.225,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4PP,BARKING HOSPITAL,*,*,10,0,*,*,*,*,*,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG11 9LX
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4DG,KING GEORGE HOSPITAL,0.8851,2,31055,830,940,0.9022,1.105,0.8635,1.1581,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,IG3 8YB
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",RF4QH,QUEEN'S HOSPITAL,0.9174,2,84350,1800,1965,0.9317,1.0717,0.8699,1.1495,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,RM7 0AG
I00699,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",P8E7P,ST GEORGE VIRTUAL HOSPITAL,*,*,410,10,40,*,*,*,*,UNDETERMINED,ONE,TRUST,RM12 6RR
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,W7N4Y,ACORN UNIT,*,*,660,15,45,*,*,*,*,RESIDENTIAL SOCIAL CARE,ONE,TRUST,S70 4DX
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,RFFAA,BARNSLEY HOSPITAL,0.9828,2,50100,1625,1655,0.9257,1.0783,0.8688,1.151,ACUTE HOSPITAL - NHS NON-SPECIALIST,ONE,TRUST,S75 2EP
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,I5E1P,SPIRE METHLEY PARK HOSPITAL,*,*,45,0,*,*,*,*,*,ACUTE HOSPITAL - INDEPENDENT NON-SPECIALIST,ONE,PRIVATE,LS26 9HG
I00699,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,NTX,NOT PROVIDED,*,*,*,0,*,*,*,*,*,NOT PROVIDED,ONE,NOT PROVIDED,NOT PROVIDED
