INDICATOR_CODE,DIAGNOSIS_GROUP_NUMBER,DIAGNOSIS_GROUP_DESCRIPTION,PROVIDER_CODE,PROVIDER_NAME,SPELLS,OBSERVED,EXPECTED,SHMI_VALUE,SHMI_BANDING,PO_LL,PO_UL,OD_LL,OD_UL
I00699,1,Tuberculosis,R0A,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,95,*,*,,,,,,
I00699,1,Tuberculosis,R0B,SOUTH TYNESIDE AND SUNDERLAND NHS FOUNDATION TRUST,15,*,*,,,,,,
I00699,1,Tuberculosis,R0D,UNIVERSITY HOSPITALS DORSET NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,R1F,ISLE OF WIGHT NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,R1H,BARTS HEALTH NHS TRUST,120,*,*,,,,,,
I00699,1,Tuberculosis,R1K,LONDON NORTH WEST UNIVERSITY HEALTHCARE NHS TRUST,135,*,*,,,,,,
I00699,1,Tuberculosis,RA2,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,**,**,**,,,,,,
I00699,1,Tuberculosis,RA7,UNIVERSITY HOSPITALS BRISTOL AND WESTON NHS FOUNDATION TRUST,15,*,*,,,,,,
I00699,1,Tuberculosis,RA9,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RAE,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,30,*,*,,,,,,
I00699,1,Tuberculosis,RAJ,MID AND SOUTH ESSEX NHS FOUNDATION TRUST,15,*,*,,,,,,
I00699,1,Tuberculosis,RAL,ROYAL FREE LONDON NHS FOUNDATION TRUST,40,*,*,,,,,,
I00699,1,Tuberculosis,RAP,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,30,*,*,,,,,,
I00699,1,Tuberculosis,RAS,THE HILLINGDON HOSPITALS NHS FOUNDATION TRUST,25,0,*,,,,,,
I00699,1,Tuberculosis,RAX,KINGSTON HOSPITAL NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RBK,WALSALL HEALTHCARE NHS TRUST,20,*,*,,,,,,
I00699,1,Tuberculosis,RBL,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RBN,MERSEY AND WEST LANCASHIRE TEACHING HOSPITALS NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RBT,MID CHESHIRE HOSPITALS NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RC9,BEDFORDSHIRE HOSPITALS NHS FOUNDATION TRUST,25,*,*,,,,,,
I00699,1,Tuberculosis,RCB,YORK AND SCARBOROUGH TEACHING HOSPITALS NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RCD,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RCF,AIREDALE NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RCX,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",*,0,*,,,,,,
I00699,1,Tuberculosis,RD1,ROYAL UNITED HOSPITALS BATH NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RD8,MILTON KEYNES UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RDE,EAST SUFFOLK AND NORTH ESSEX NHS FOUNDATION TRUST,15,*,*,,,,,,
I00699,1,Tuberculosis,RDU,FRIMLEY HEALTH NHS FOUNDATION TRUST,30,0,*,,,,,,
I00699,1,Tuberculosis,REF,ROYAL CORNWALL HOSPITALS NHS TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,REM,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,35,0,*,,,,,,
I00699,1,Tuberculosis,RF4,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",40,0,*,,,,,,
I00699,1,Tuberculosis,RFF,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RFR,THE ROTHERHAM NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RFS,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RGN,NORTH WEST ANGLIA NHS FOUNDATION TRUST,15,0,*,,,,,,
I00699,1,Tuberculosis,RGP,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RGR,WEST SUFFOLK NHS FOUNDATION TRUST,10,*,*,,,,,,
I00699,1,Tuberculosis,RGT,CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,20,*,*,,,,,,
I00699,1,Tuberculosis,RH5,SOMERSET NHS FOUNDATION TRUST,*,0,*,,,,,,
I00699,1,Tuberculosis,RH8,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,*,*,*,,,,,,
I00699,1,Tuberculosis,RHM,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,20,0,*,,,,,,
