INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE
I00699,1,ADMIMETH_1,-1.3245,0.3932,11.3484,1,0.0008
I00699,1,ADMIMETH_2,0.0,,,0,
I00699,1,ADMIMETH_3,0.0,,,0,
I00699,1,ADMISSION_MONTH_1,-0.1548,0.3748,0.1706,1,0.6795
I00699,1,ADMISSION_MONTH_2,0.0703,0.3688,0.0364,1,0.8488
I00699,1,ADMISSION_MONTH_3,-0.0083,0.3562,0.0005,1,0.9814
I00699,1,ADMISSION_MONTH_4,0.1458,0.3593,0.1647,1,0.6848
I00699,1,ADMISSION_MONTH_5,0.1278,0.3621,0.1246,1,0.7241
I00699,1,ADMISSION_MONTH_6,0.0,,,0,
I00699,1,ADMISSION_MONTH_7,0.3382,0.3508,0.929,1,0.3351
I00699,1,ADMISSION_MONTH_8,-0.0678,0.3821,0.0315,1,0.8592
I00699,1,ADMISSION_MONTH_9,0.2338,0.3628,0.4152,1,0.5193
I00699,1,ADMISSION_MONTH_10,0.0239,0.3671,0.0043,1,0.948
I00699,1,ADMISSION_MONTH_11,0.571,0.3296,3.001,1,0.0832
I00699,1,ADMISSION_MONTH_12,0.5045,0.3393,2.2104,1,0.1371
I00699,1,AGE_GROUP_1,-15.1022,1722.4993,0.0001,1,0.993
I00699,1,AGE_GROUP_2,-15.0024,1146.567,0.0002,1,0.9896
I00699,1,AGE_GROUP_3,-15.0426,1300.1972,0.0001,1,0.9908
I00699,1,AGE_GROUP_4,-15.1371,925.6648,0.0003,1,0.987
I00699,1,AGE_GROUP_5,-15.3142,609.4711,0.0006,1,0.98
I00699,1,AGE_GROUP_6,-2.005,1.0399,3.7172,1,0.0539
I00699,1,AGE_GROUP_7,0.0,,,0,
I00699,1,AGE_GROUP_8,-0.7448,0.5754,1.6755,1,0.1955
I00699,1,AGE_GROUP_9,0.3288,0.4262,0.5955,1,0.4403
I00699,1,AGE_GROUP_10,0.4969,0.4169,1.4206,1,0.2333
I00699,1,AGE_GROUP_11,0.6871,0.3934,3.0507,1,0.0807
I00699,1,AGE_GROUP_12,0.7504,0.4118,3.3206,1,0.0684
I00699,1,AGE_GROUP_13,1.2873,0.3619,12.651,1,0.0004
I00699,1,AGE_GROUP_14,1.1079,0.3915,8.0084,1,0.0047
I00699,1,AGE_GROUP_15,1.6867,0.3667,21.1598,1,0.0
I00699,1,AGE_GROUP_16,1.8365,0.3675,24.973,1,0.0
I00699,1,AGE_GROUP_17,1.9971,0.3754,28.3073,1,0.0
I00699,1,AGE_GROUP_18,2.1848,0.4005,29.7598,1,0.0
I00699,1,AGE_GROUP_19,2.0891,0.4624,20.4114,1,0.0
I00699,1,AGE_GROUP_20,2.6983,0.7456,13.0981,1,0.0003
I00699,1,AGE_GROUP_21,0.0,,,0,
I00699,1,CHARLSON_INDEX_1,0.0,,,0,
I00699,1,CHARLSON_INDEX_2,0.5615,0.2035,7.6155,1,0.0058
I00699,1,CHARLSON_INDEX_3,0.8737,0.1953,20.0086,1,0.0
I00699,1,GENDER_1,0.0,,,0,
I00699,1,GENDER_2,-0.3199,0.1615,3.9204,1,0.0477
I00699,1,GENDER_3,0.0,,,0,
I00699,1,Intercept,-4.4406,0.3868,131.8223,1,0.0
I00699,1,YEAR_INDEX_1,0.0,,,0,
I00699,1,YEAR_INDEX_2,0.1028,0.1805,0.324,1,0.5692
I00699,1,YEAR_INDEX_3,0.1381,0.1801,0.5877,1,0.4433
I00699,2,ADMIMETH_1,-0.4307,0.0385,125.4923,1,0.0
I00699,2,ADMIMETH_2,0.0,,,0,
I00699,2,ADMIMETH_3,0.0,,,0,
I00699,2,ADMISSION_MONTH_1,0.2543,0.0211,144.9403,1,0.0
I00699,2,ADMISSION_MONTH_2,0.1607,0.0218,54.1951,1,0.0
I00699,2,ADMISSION_MONTH_3,0.1479,0.0214,47.8984,1,0.0
I00699,2,ADMISSION_MONTH_4,0.0664,0.0215,9.5498,1,0.002
I00699,2,ADMISSION_MONTH_5,-0.0438,0.0214,4.1791,1,0.0409
I00699,2,ADMISSION_MONTH_6,-0.0144,0.0214,0.4499,1,0.5024
I00699,2,ADMISSION_MONTH_7,-0.0089,0.0213,0.1766,1,0.6743
I00699,2,ADMISSION_MONTH_8,0.0,,,0,
I00699,2,ADMISSION_MONTH_9,0.038,0.0213,3.1841,1,0.0744
I00699,2,ADMISSION_MONTH_10,0.1084,0.0211,26.358,1,0.0
I00699,2,ADMISSION_MONTH_11,0.2027,0.0211,92.0427,1,0.0
I00699,2,ADMISSION_MONTH_12,0.3256,0.0206,249.24,1,0.0
I00699,2,AGE_GROUP_1,-3.9561,0.172,529.1692,1,0.0
I00699,2,AGE_GROUP_2,-3.202,0.1504,453.1435,1,0.0
I00699,2,AGE_GROUP_3,-2.7954,0.162,297.7841,1,0.0
I00699,2,AGE_GROUP_4,-2.618,0.1913,187.2584,1,0.0
I00699,2,AGE_GROUP_5,-2.4106,0.1567,236.7068,1,0.0
I00699,2,AGE_GROUP_6,-1.9739,0.116,289.5124,1,0.0
I00699,2,AGE_GROUP_7,-1.8884,0.0985,367.4077,1,0.0
I00699,2,AGE_GROUP_8,-1.7835,0.0792,507.2019,1,0.0
I00699,2,AGE_GROUP_9,-1.3432,0.058,535.7845,1,0.0
I00699,2,AGE_GROUP_10,-1.1802,0.0474,618.6759,1,0.0
I00699,2,AGE_GROUP_11,-0.9282,0.0387,574.5586,1,0.0
I00699,2,AGE_GROUP_12,-0.7516,0.0295,647.8997,1,0.0
I00699,2,AGE_GROUP_13,-0.6082,0.0243,626.4302,1,0.0
I00699,2,AGE_GROUP_14,-0.4676,0.021,493.86,1,0.0
I00699,2,AGE_GROUP_15,-0.3153,0.0187,285.5114,1,0.0
I00699,2,AGE_GROUP_16,-0.1519,0.0164,85.6686,1,0.0
I00699,2,AGE_GROUP_17,0.0,,,0,
I00699,2,AGE_GROUP_18,0.2473,0.015,272.6175,1,0.0
I00699,2,AGE_GROUP_19,0.5114,0.015,1160.6968,1,0.0
I00699,2,AGE_GROUP_20,0.8617,0.0159,2931.6361,1,0.0
I00699,2,AGE_GROUP_21,0.0,,,0,
I00699,2,CHARLSON_INDEX_1,0.0,,,0,
I00699,2,CHARLSON_INDEX_2,0.1175,0.0204,33.1037,1,0.0
I00699,2,CHARLSON_INDEX_3,0.7354,0.0145,2561.0477,1,0.0
I00699,2,GENDER_1,0.0,,,0,
I00699,2,GENDER_2,0.0703,0.0088,64.2563,1,0.0
I00699,2,GENDER_3,0.0,,,0,
I00699,2,Intercept,-1.8674,0.0232,6452.3927,1,0.0
I00699,2,YEAR_INDEX_1,0.0,,,0,
I00699,2,YEAR_INDEX_2,0.0939,0.0106,78.1933,1,0.0
I00699,2,YEAR_INDEX_3,-0.0066,0.0107,0.3812,1,0.537
I00699,3,ADMIMETH_1,-0.5034,0.1947,6.6821,1,0.0097
I00699,3,ADMIMETH_2,0.0,,,0,
I00699,3,ADMIMETH_3,0.0,,,0,
I00699,3,ADMISSION_MONTH_1,-0.1566,0.1158,1.8301,1,0.1761
I00699,3,ADMISSION_MONTH_2,-0.3337,0.1224,7.4359,1,0.0064
I00699,3,ADMISSION_MONTH_3,-0.211,0.1162,3.3006,1,0.0693
I00699,3,ADMISSION_MONTH_4,-0.2666,0.1218,4.7904,1,0.0286
I00699,3,ADMISSION_MONTH_5,-0.3387,0.1202,7.9451,1,0.0048
I00699,3,ADMISSION_MONTH_6,-0.2459,0.1191,4.265,1,0.0389
I00699,3,ADMISSION_MONTH_7,-0.3612,0.1182,9.3367,1,0.0022
I00699,3,ADMISSION_MONTH_8,-0.2038,0.1152,3.1319,1,0.0768
I00699,3,ADMISSION_MONTH_9,-0.2935,0.1194,6.0429,1,0.014
I00699,3,ADMISSION_MONTH_10,-0.0651,0.1149,0.3212,1,0.5709
I00699,3,ADMISSION_MONTH_11,-0.0391,0.1136,0.1188,1,0.7303
I00699,3,ADMISSION_MONTH_12,0.0,,,0,
I00699,3,AGE_GROUP_1,-2.7977,0.7147,15.3224,1,0.0001
I00699,3,AGE_GROUP_2,-4.4574,0.7132,39.0636,1,0.0
I00699,3,AGE_GROUP_3,-15.7579,152.6506,0.0107,1,0.9178
I00699,3,AGE_GROUP_4,-15.8174,291.3055,0.0029,1,0.9567
I00699,3,AGE_GROUP_5,-1.6003,0.5096,9.862,1,0.0017
I00699,3,AGE_GROUP_6,-1.3059,0.4583,8.119,1,0.0044
I00699,3,AGE_GROUP_7,-2.5976,0.7129,13.2758,1,0.0003
I00699,3,AGE_GROUP_8,-1.7576,0.4172,17.747,1,0.0
I00699,3,AGE_GROUP_9,-2.1711,0.4545,22.816,1,0.0
I00699,3,AGE_GROUP_10,-2.3667,0.4539,27.191,1,0.0
I00699,3,AGE_GROUP_11,-1.1667,0.2475,22.212,1,0.0
I00699,3,AGE_GROUP_12,-1.1759,0.2086,31.776,1,0.0
I00699,3,AGE_GROUP_13,-0.9284,0.1691,30.1595,1,0.0
I00699,3,AGE_GROUP_14,-0.2518,0.1198,4.4209,1,0.0355
I00699,3,AGE_GROUP_15,-0.5021,0.1212,17.1652,1,0.0
I00699,3,AGE_GROUP_16,-0.1953,0.0989,3.8978,1,0.0484
