code_hopital,annee_fiscale,taux_occupation_lits,taux_mortalite,taux_infection_nosocomiale,duree_moyenne_sejour_jours,temps_attente_median_min,taux_lits_vacants,taux_transfert,nombre_lits_disponibles,total_admissions,nombre_medecins,nombre_infirmiers,ratio_medecin_par_lit,ratio_infirmier_par_lit,ratio_infirmier_par_medecin,statut_hopital
RE9,2012-13,86.0,4.764,0.0188,5.4,72.0,14.0,14.4,415.0,37221.0,214.0,,0.516,,,Attention
RLN,2012-13,77.3,3.369,0.0495,4.3,109.0,22.7,7.89,887.1222222222223,127379.0,563.0,,0.635,,,Normal
RTD,2012-13,84.0,2.417,0.0348,5.0,93.0,16.0,9.45,1608.6444444444444,212396.0,1686.0,,1.048,,,Attention
RTF,2012-13,78.4,4.81,0.0468,5.5,107.0,21.6,6.46,1203.5222222222221,113129.0,617.0,,0.513,,,Attention
RTR,2012-13,84.5,3.186,0.0325,4.3,103.0,15.5,11.56,1154.3222222222223,150869.0,922.0,,0.799,,,Normal
RVW,2012-13,84.7,3.928,0.0728,4.1,121.0,15.3,10.5,669.4888888888889,83809.0,480.0,,0.717,,,Attention
RXP,2012-13,82.4,3.678,0.0478,3.7,59.0,17.6,12.61,1131.0,137963.0,743.0,,0.657,,,Normal
RBL,2012-13,81.7,3.575,0.0264,4.2,143.0,18.3,11.5,868.0333333333333,102146.0,564.0,,0.65,,,Attention
RBN,2012-13,94.2,3.181,0.0315,3.7,188.0,5.8,13.15,703.5555555555555,98439.0,522.0,,0.742,,,Critique
RBT,2012-13,94.3,3.894,0.0364,4.7,115.0,5.7,15.93,595.0,63128.0,295.0,,0.496,,,Critique
REM,2012-13,95.8,4.948,0.0995,5.9,162.0,4.2,0.37,712.9777777777778,72341.0,531.0,,0.745,,,Critique
RJN,2012-13,84.5,4.269,0.0789,4.9,162.0,15.5,12.2,426.7888888888889,36763.0,245.0,,0.574,,,Attention
RJR,2012-13,90.8,3.04,0.0617,4.1,172.0,9.2,19.24,621.7222222222222,77810.0,417.0,,0.671,,,Attention
RM2,2012-13,86.4,2.906,0.051,4.8,171.0,13.6,13.09,892.5333333333333,90280.0,674.0,,0.755,,,Attention
RM3,2012-13,91.9,3.506,0.0629,5.3,160.0,8.1,3.71,677.8,74775.0,742.0,,1.095,,,Attention
RMC,2012-13,83.7,2.85,0.0695,3.5,118.0,16.3,25.13,695.4222222222222,89207.0,481.0,,0.692,,,Normal
RMP,2012-13,90.7,3.986,0.0667,4.6,202.0,9.3,14.12,498.9555555555556,52452.0,277.0,,0.555,,,Attention
RNL,2012-13,87.6,3.98,0.0648,4.2,92.0,12.4,8.74,604.7,86465.0,385.0,,0.637,,,Attention
RQ6,2012-13,90.3,4.221,0.0602,5.5,154.0,9.7,0.5,790.0,88068.0,804.0,,1.018,,,Attention
RRF,2012-13,86.0,3.863,0.0402,3.5,151.0,14.0,11.47,483.6777777777778,86996.0,484.0,,1.001,,,Attention
RTX,2012-13,83.8,3.428,0.0513,4.6,150.0,16.2,8.62,771.2222222222222,93649.0,467.0,,0.606,,,Attention
RVY,2012-13,85.1,3.737,0.0379,4.2,113.0,14.9,11.29,490.5444444444444,60638.0,296.0,,0.603,,,Attention
RW6,2012-13,84.1,3.137,0.0414,3.4,137.0,15.9,11.4,1398.9222222222222,207699.0,995.0,,0.711,,,Attention
RWJ,2012-13,83.7,2.898,0.0557,4.0,154.0,16.3,14.9,751.7888888888889,86137.0,445.0,,0.592,,,Attention
RWW,2012-13,87.7,3.291,0.0233,3.8,127.0,12.3,11.34,628.9,81558.0,394.0,,0.626,,,Attention
RXN,2012-13,93.2,3.07,0.0506,4.4,127.0,6.8,13.75,913.2222222222222,128555.0,715.0,,0.783,,,Critique
RXR,2012-13,91.2,3.247,0.028,4.0,132.0,8.8,12.07,964.2777777777778,128665.0,703.0,,0.729,,,Attention
RAE,2012-13,76.5,2.488,0.0472,3.4,171.0,23.5,12.56,745.0444444444445,122760.0,669.0,,0.898,,,Attention
RCB,2012-13,90.4,4.053,0.0395,4.9,103.0,9.6,12.66,1146.7222222222222,136672.0,729.0,,0.636,,,Attention
RCD,2012-13,87.5,3.821,0.0437,4.7,123.0,12.5,9.36,336.47777777777776,48109.0,320.0,,0.951,,,Attention
RCF,2012-13,87.6,3.517,0.0338,4.1,140.0,12.4,18.81,394.5777777777778,53314.0,243.0,,0.616,,,Attention
RFF,2012-13,84.6,3.26,0.0351,3.7,164.0,15.4,17.99,524.5300000000001,65520.0,304.0,,0.58,,,Attention
RFR,2012-13,81.8,3.569,0.0275,4.1,151.0,18.2,12.13,594.3333333333334,72821.0,366.0,,0.616,,,Attention
RHQ,2012-13,86.9,3.311,0.0506,5.5,140.0,13.1,11.33,1926.7666666666667,205651.0,1462.0,,0.759,,,Attention
RP5,2012-13,86.0,3.69,0.0539,3.9,141.0,14.0,11.83,982.9333333333333,118832.0,574.0,,0.584,,,Attention
RR8,2012-13,82.6,3.146,0.0798,5.0,177.0,17.4,13.37,1933.1222222222223,193043.0,1855.0,,0.96,,,Attention
RWA,2012-13,92.1,3.668,0.0376,4.3,147.0,7.9,10.83,1103.7444444444445,154437.0,939.0,,0.851,,,Critique
RWY,2012-13,89.3,2.988,0.0242,3.3,124.0,10.7,18.7,797.3,119992.0,554.0,,0.695,,,Attention
RFS,2012-13,91.9,3.804,0.0549,4.2,164.0,8.1,14.8,619.0755555555556,70994.0,361.0,,0.583,,,Attention
RK5,2012-13,96.6,3.695,0.0349,4.7,160.0,3.4,14.64,751.9444444444445,83058.0,420.0,,0.559,,,Critique
RNQ,2012-13,92.0,3.191,0.0545,4.2,168.0,8.0,15.62,578.9111111111112,75229.0,373.0,,0.644,,,Attention
RNS,2012-13,88.8,3.2,0.0301,4.6,158.0,11.2,18.79,811.0777777777778,96237.0,506.0,,0.624,,,Attention
RTG,2012-13,90.3,3.637,0.0463,4.3,166.0,9.7,15.01,985.6666666666666,140280.0,781.0,,0.792,,,Attention
